invoice_no,customer_id,product_id,stock_code,product_name,description,category,quantity,unit_price,total_spend,transaction_date,country,device
INV_004396,CUST_00897,PROD_0049,PROD_0049,Product 49 Eco,Product 49 Eco,Electronics,3,100.27,300.81,2024-05-11 23:33:10,United Kingdom,Desktop
INV_007689,CUST_02477,PROD_0040,PROD_0040,Product 40 Luxury,Product 40 Luxury,Electronics,2,137.92,275.84,2024-02-21 23:18:15,United States,Desktop
INV_006270,CUST_00896,PROD_0018,PROD_0018,Product 18 Essential,Product 18 Essential,Electronics,4,171.78,687.12,2024-04-08 15:42:08,Canada,Desktop
INV_006181,CUST_02243,PROD_0023,PROD_0023,Product 23 Eco,Product 23 Eco,Electronics,1,36.85,36.85,2024-07-02 22:39:40,United Kingdom,Desktop
INV_005792,CUST_02118,PROD_0016,PROD_0016,Product 16 Eco,Product 16 Eco,Electronics,3,117.57,352.71,2024-08-15 10:23:05,United States,Desktop
INV_006283,CUST_00958,PROD_0022,PROD_0022,Product 22 Luxury,Product 22 Luxury,Electronics,2,128.81,257.62,2024-09-07 13:05:57,United States,Desktop
INV_007314,CUST_01684,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,1,32.85,32.85,2024-09-15 10:34:46,United States,Desktop
INV_004022,CUST_00700,PROD_0008,PROD_0008,Product 8 Eco,Product 8 Eco,Electronics,1,162.83,162.83,2024-09-20 18:37:48,Germany,Desktop
INV_007277,CUST_01375,PROD_0013,PROD_0013,Product 13 Eco,Product 13 Eco,Electronics,1,162.38,162.38,2024-12-10 05:14:57,United States,Desktop
INV_007929,CUST_02412,PROD_0028,PROD_0028,Product 28 Vintage,Product 28 Vintage,Electronics,3,175.88,527.64,2024-12-28 00:11:50,United States,Desktop
INV_007864,CUST_01743,PROD_0036,PROD_0036,Product 36 Vintage,Product 36 Vintage,Electronics,7,159.45,1116.15,2024-10-25 07:22:56,United States,Desktop
INV_006463,CUST_00512,PROD_0007,PROD_0007,Product 7 Eco,Product 7 Eco,Electronics,3,47.98,143.94,2024-03-06 05:07:28,United States,Desktop
INV_006875,CUST_00202,PROD_0018,PROD_0018,Product 18 Essential,Product 18 Essential,Electronics,3,171.78,515.34,2024-01-10 14:54:10,United Kingdom,Desktop
INV_006273,CUST_02344,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,1,21.94,21.94,2024-02-12 05:50:39,United Kingdom,Desktop
INV_007759,CUST_02277,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,2,29.33,58.66,2024-12-11 11:04:14,United States,Desktop
INV_006226,CUST_00344,PROD_0034,PROD_0034,Product 34 Vintage,Product 34 Vintage,Electronics,4,104.35,417.4,2024-12-22 13:35:43,Germany,Desktop
INV_004156,CUST_00295,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,1,150.66,150.66,2024-05-12 07:39:34,United States,Desktop
INV_003850,CUST_02232,PROD_0029,PROD_0029,Product 29 Essential,Product 29 Essential,Electronics,2,132.8,265.6,2024-02-08 17:17:26,United Kingdom,Desktop
INV_002943,CUST_02416,PROD_0033,PROD_0033,Product 33 Modern,Product 33 Modern,Electronics,1,82.87,82.87,2024-06-12 19:03:35,United States,Desktop
INV_001918,CUST_00230,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,1,29.33,29.33,2024-12-24 00:27:54,France,Desktop
INV_006234,CUST_01700,PROD_0031,PROD_0031,Product 31 Vintage,Product 31 Vintage,Electronics,1,150.26,150.26,2024-02-13 12:03:07,United Kingdom,Desktop
INV_006795,CUST_01955,PROD_0017,PROD_0017,Product 17 Luxury,Product 17 Luxury,Electronics,1,133.94,133.94,2024-09-15 02:21:59,United Kingdom,Desktop
INV_005878,CUST_00785,PROD_0001,PROD_0001,Product 1 Luxury,Product 1 Luxury,Electronics,2,149.59,299.18,2024-05-14 00:25:52,United States,Desktop
INV_005102,CUST_00606,PROD_0008,PROD_0008,Product 8 Eco,Product 8 Eco,Electronics,5,162.83,814.15,2024-01-25 18:26:35,Germany,Desktop
INV_002860,CUST_02063,PROD_0013,PROD_0013,Product 13 Eco,Product 13 Eco,Electronics,2,162.38,324.76,2024-01-13 09:58:55,France,Desktop
INV_005218,CUST_01196,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,6,57.2,343.2,2024-07-15 08:28:59,United States,Desktop
INV_001527,CUST_01159,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,1,172.91,172.91,2024-01-10 14:16:26,Canada,Desktop
INV_001092,CUST_02047,PROD_0023,PROD_0023,Product 23 Eco,Product 23 Eco,Electronics,1,36.85,36.85,2024-11-29 17:48:49,United Kingdom,Desktop
INV_001367,CUST_00927,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,4,21.94,87.76,2024-09-26 08:07:08,Canada,Desktop
INV_000556,CUST_02237,PROD_0042,PROD_0042,Product 42 Essential,Product 42 Essential,Electronics,3,62.22,186.66,2024-05-11 11:29:20,France,Desktop
INV_007065,CUST_02268,PROD_0015,PROD_0015,Product 15 Modern,Product 15 Modern,Electronics,4,112.64,450.56,2024-05-14 14:39:10,Germany,Desktop
INV_005008,CUST_02452,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,2,21.94,43.88,2024-07-01 23:03:26,United States,Desktop
INV_002918,CUST_02347,PROD_0029,PROD_0029,Product 29 Essential,Product 29 Essential,Electronics,1,132.8,132.8,2024-09-18 03:32:14,United States,Desktop
INV_000060,CUST_02167,PROD_0018,PROD_0018,Product 18 Essential,Product 18 Essential,Electronics,3,171.78,515.34,2024-01-04 00:54:59,Germany,Desktop
INV_000544,CUST_00589,PROD_0002,PROD_0002,Product 2 Vintage,Product 2 Vintage,Electronics,1,32.2,32.2,2024-04-23 02:51:06,United States,Desktop
INV_005654,CUST_01737,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,2,150.66,301.32,2024-09-17 01:54:47,Germany,Desktop
INV_006872,CUST_00516,PROD_0046,PROD_0046,Product 46 Essential,Product 46 Essential,Electronics,1,123.74,123.74,2024-02-08 20:08:42,United Kingdom,Desktop
INV_004629,CUST_01845,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,1,29.33,29.33,2024-07-13 23:33:11,United States,Desktop
INV_003042,CUST_01860,PROD_0050,PROD_0050,Product 50 Luxury,Product 50 Luxury,Electronics,1,176.34,176.34,2024-01-01 18:13:17,Australia,Desktop
INV_004513,CUST_01511,PROD_0042,PROD_0042,Product 42 Essential,Product 42 Essential,Electronics,1,62.22,62.22,2024-12-21 15:56:27,United States,Desktop
INV_005091,CUST_00528,PROD_0031,PROD_0031,Product 31 Vintage,Product 31 Vintage,Electronics,2,150.26,300.52,2024-02-07 12:34:36,Japan,Desktop
INV_002536,CUST_00406,PROD_0007,PROD_0007,Product 7 Eco,Product 7 Eco,Electronics,5,47.98,239.9,2024-11-14 07:05:59,United Kingdom,Desktop
INV_007567,CUST_01605,PROD_0010,PROD_0010,Product 10 Essential,Product 10 Essential,Electronics,1,35.31,35.31,2024-03-14 21:51:37,United States,Desktop
INV_002270,CUST_00247,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,5,172.91,864.55,2024-04-10 06:57:29,Australia,Desktop
INV_000231,CUST_00925,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,2,199.23,398.46,2024-10-28 05:59:16,United Kingdom,Desktop
INV_004572,CUST_00033,PROD_0031,PROD_0031,Product 31 Vintage,Product 31 Vintage,Electronics,1,150.26,150.26,2024-03-02 15:39:42,United States,Desktop
INV_003194,CUST_00454,PROD_0017,PROD_0017,Product 17 Luxury,Product 17 Luxury,Electronics,3,133.94,401.82,2024-02-20 03:39:01,United Kingdom,Desktop
INV_004705,CUST_00728,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,1,57.2,57.2,2024-06-04 08:46:36,United States,Desktop
INV_001454,CUST_00909,PROD_0024,PROD_0024,Product 24 Modern,Product 24 Modern,Electronics,1,197.95,197.95,2024-01-01 20:28:37,United States,Desktop
INV_004064,CUST_02297,PROD_0020,PROD_0020,Product 20 Essential,Product 20 Essential,Electronics,3,77.18,231.54,2024-03-01 05:02:58,Australia,Desktop
INV_001520,CUST_00895,PROD_0019,PROD_0019,Product 19 Luxury,Product 19 Luxury,Electronics,1,59.19,59.19,2024-10-19 07:15:34,United Kingdom,Desktop
INV_006819,CUST_02182,PROD_0045,PROD_0045,Product 45 Eco,Product 45 Eco,Electronics,2,174.74,349.48,2024-09-27 13:36:04,United Kingdom,Desktop
INV_001753,CUST_01065,PROD_0012,PROD_0012,Product 12 Luxury,Product 12 Luxury,Electronics,1,170.25,170.25,2024-05-20 04:24:35,United States,Desktop
INV_000884,CUST_01557,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,3,172.91,518.73,2024-02-03 06:43:37,France,Desktop
INV_000423,CUST_01142,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,1,21.94,21.94,2024-08-10 22:59:59,United States,Desktop
INV_003135,CUST_01532,PROD_0034,PROD_0034,Product 34 Vintage,Product 34 Vintage,Electronics,1,104.35,104.35,2024-07-23 01:47:17,Germany,Desktop
INV_005633,CUST_01179,PROD_0025,PROD_0025,Product 25 Eco,Product 25 Eco,Electronics,1,138.49,138.49,2024-07-12 01:37:11,France,Desktop
INV_003891,CUST_01481,PROD_0001,PROD_0001,Product 1 Luxury,Product 1 Luxury,Electronics,1,149.59,149.59,2024-12-20 11:09:31,France,Desktop
INV_003272,CUST_02043,PROD_0029,PROD_0029,Product 29 Essential,Product 29 Essential,Electronics,2,132.8,265.6,2024-04-25 04:38:58,United States,Desktop
INV_001392,CUST_00483,PROD_0004,PROD_0004,Product 4 Modern,Product 4 Modern,Electronics,5,10.8,54.0,2024-04-19 19:01:05,United States,Desktop
INV_001241,CUST_01929,PROD_0050,PROD_0050,Product 50 Luxury,Product 50 Luxury,Electronics,1,176.34,176.34,2024-07-08 22:42:45,Canada,Desktop
INV_004871,CUST_00378,PROD_0022,PROD_0022,Product 22 Luxury,Product 22 Luxury,Electronics,3,128.81,386.43,2024-08-04 19:38:45,France,Desktop
INV_001937,CUST_02148,PROD_0026,PROD_0026,Product 26 Luxury,Product 26 Luxury,Electronics,4,165.24,660.96,2024-04-05 15:10:39,United States,Desktop
INV_003393,CUST_00265,PROD_0047,PROD_0047,Product 47 Vintage,Product 47 Vintage,Electronics,1,153.68,153.68,2024-09-07 02:23:22,United States,Desktop
INV_004680,CUST_02044,PROD_0024,PROD_0024,Product 24 Modern,Product 24 Modern,Electronics,1,197.95,197.95,2024-03-22 19:16:58,United Kingdom,Desktop
INV_007852,CUST_00836,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,2,172.91,345.82,2024-06-15 02:42:09,United States,Desktop
INV_000082,CUST_00666,PROD_0022,PROD_0022,Product 22 Luxury,Product 22 Luxury,Electronics,1,128.81,128.81,2024-11-06 15:29:14,France,Desktop
INV_004956,CUST_00141,PROD_0021,PROD_0021,Product 21 Vintage,Product 21 Vintage,Electronics,1,141.84,141.84,2024-10-17 11:16:05,Canada,Desktop
INV_000785,CUST_02449,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,1,150.66,150.66,2024-09-17 23:42:51,Germany,Desktop
INV_002733,CUST_02451,PROD_0037,PROD_0037,Product 37 Modern,Product 37 Modern,Electronics,6,17.38,104.28,2024-10-02 13:38:02,Germany,Desktop
INV_000213,CUST_01984,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,1,32.85,32.85,2024-04-17 09:09:47,Germany,Desktop
INV_003781,CUST_01489,PROD_0006,PROD_0006,Product 6 Luxury,Product 6 Luxury,Electronics,1,43.76,43.76,2024-05-17 05:37:58,United States,Desktop
INV_006380,CUST_02237,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,2,21.94,43.88,2024-08-10 16:48:27,Japan,Desktop
INV_001407,CUST_00162,PROD_0011,PROD_0011,Product 11 Essential,Product 11 Essential,Electronics,1,23.08,23.08,2024-11-26 23:32:00,United States,Desktop
INV_001673,CUST_00022,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,3,172.91,518.73,2024-11-08 09:15:57,United States,Desktop
INV_004640,CUST_01744,PROD_0003,PROD_0003,Product 3 Luxury,Product 3 Luxury,Electronics,2,21.94,43.88,2024-05-11 01:22:17,Germany,Desktop
INV_003872,CUST_00518,PROD_0005,PROD_0005,Product 5 Vintage,Product 5 Vintage,Electronics,2,103.53,207.06,2024-07-14 20:00:58,United States,Desktop
INV_004061,CUST_00003,PROD_0010,PROD_0010,Product 10 Essential,Product 10 Essential,Electronics,1,35.31,35.31,2024-01-20 09:07:14,United States,Desktop
INV_000205,CUST_00997,PROD_0017,PROD_0017,Product 17 Luxury,Product 17 Luxury,Electronics,1,133.94,133.94,2024-04-28 22:02:49,Germany,Desktop
INV_007554,CUST_02125,PROD_0046,PROD_0046,Product 46 Essential,Product 46 Essential,Electronics,3,123.74,371.22,2024-05-15 01:14:35,United States,Desktop
INV_006091,CUST_02342,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,3,57.2,171.6,2024-01-09 07:06:09,Germany,Desktop
INV_004064,CUST_02297,PROD_0008,PROD_0008,Product 8 Eco,Product 8 Eco,Electronics,2,162.83,325.66,2024-03-01 05:02:58,Australia,Desktop
INV_004483,CUST_00830,PROD_0005,PROD_0005,Product 5 Vintage,Product 5 Vintage,Electronics,1,103.53,103.53,2024-01-31 02:07:47,United Kingdom,Desktop
INV_000052,CUST_01873,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,1,32.85,32.85,2024-05-02 18:59:06,Australia,Desktop
INV_002007,CUST_01800,PROD_0027,PROD_0027,Product 27 Essential,Product 27 Essential,Electronics,1,57.2,57.2,2024-12-02 18:13:41,United Kingdom,Desktop
INV_001186,CUST_02017,PROD_0015,PROD_0015,Product 15 Modern,Product 15 Modern,Electronics,3,112.64,337.92,2024-07-29 12:58:03,United States,Desktop
INV_002402,CUST_01960,PROD_0009,PROD_0009,Product 9 Luxury,Product 9 Luxury,Electronics,1,141.13,141.13,2024-10-13 08:52:49,Australia,Desktop
INV_001182,CUST_01303,PROD_0006,PROD_0006,Product 6 Luxury,Product 6 Luxury,Electronics,2,43.76,87.52,2024-11-09 02:25:26,Germany,Desktop
INV_000127,CUST_00721,PROD_0010,PROD_0010,Product 10 Essential,Product 10 Essential,Electronics,1,35.31,35.31,2024-11-08 06:50:49,Australia,Desktop
INV_001759,CUST_01166,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,1,199.23,199.23,2024-05-17 21:51:22,United States,Desktop
INV_000675,CUST_02306,PROD_0010,PROD_0010,Product 10 Essential,Product 10 Essential,Electronics,5,35.31,176.55,2024-04-26 10:15:02,United Kingdom,Desktop
INV_007487,CUST_00116,PROD_0043,PROD_0043,Product 43 Vintage,Product 43 Vintage,Electronics,2,5.62,11.24,2024-06-27 19:04:25,Australia,Desktop
INV_004779,CUST_02267,PROD_0018,PROD_0018,Product 18 Essential,Product 18 Essential,Electronics,1,171.78,171.78,2024-07-26 16:16:02,France,Desktop
INV_006745,CUST_02483,PROD_0029,PROD_0029,Product 29 Essential,Product 29 Essential,Electronics,3,132.8,398.4,2024-07-24 12:23:19,Japan,Desktop
INV_003887,CUST_02374,PROD_0012,PROD_0012,Product 12 Luxury,Product 12 Luxury,Electronics,1,170.25,170.25,2024-12-02 16:27:27,United States,Desktop
INV_000186,CUST_01884,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,2,29.33,58.66,2024-10-01 16:35:39,United States,Desktop
INV_003447,CUST_00368,PROD_0042,PROD_0042,Product 42 Essential,Product 42 Essential,Electronics,2,62.22,124.44,2024-10-29 00:58:35,United Kingdom,Desktop
INV_002588,CUST_02014,PROD_0007,PROD_0007,Product 7 Eco,Product 7 Eco,Electronics,1,47.98,47.98,2024-06-16 06:14:20,United States,Desktop
INV_001070,CUST_00057,PROD_0031,PROD_0031,Product 31 Vintage,Product 31 Vintage,Electronics,1,150.26,150.26,2024-04-11 19:44:38,United States,Desktop
INV_005338,CUST_02480,PROD_0030,PROD_0030,Product 30 Modern,Product 30 Modern,Electronics,2,32.85,65.7,2024-10-01 06:57:02,United States,Desktop
INV_002459,CUST_02009,PROD_0047,PROD_0047,Product 47 Vintage,Product 47 Vintage,Electronics,2,153.68,307.36,2024-05-03 09:43:02,United Kingdom,Desktop
INV_007951,CUST_00518,PROD_0044,PROD_0044,Product 44 Essential,Product 44 Essential,Electronics,1,153.57,153.57,2024-07-20 07:01:29,Germany,Desktop
INV_007767,CUST_01249,PROD_0023,PROD_0023,Product 23 Eco,Product 23 Eco,Electronics,3,36.85,110.55,2024-10-28 17:53:56,United States,Desktop
INV_002942,CUST_00115,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,2,199.23,398.46,2024-11-03 06:33:10,United States,Desktop
INV_000918,CUST_02310,PROD_0025,PROD_0025,Product 25 Eco,Product 25 Eco,Electronics,1,138.49,138.49,2024-03-18 14:16:17,United Kingdom,Desktop
INV_000867,CUST_02225,PROD_0007,PROD_0007,Product 7 Eco,Product 7 Eco,Electronics,2,47.98,95.96,2024-08-06 20:17:33,Germany,Desktop
INV_000905,CUST_01011,PROD_0021,PROD_0021,Product 21 Vintage,Product 21 Vintage,Electronics,5,141.84,709.2,2024-10-06 23:16:11,United Kingdom,Desktop
INV_004400,CUST_00452,PROD_0038,PROD_0038,Product 38 Modern,Product 38 Modern,Electronics,4,199.23,796.92,2024-08-26 04:24:26,United Kingdom,Desktop
INV_000745,CUST_00898,PROD_0011,PROD_0011,Product 11 Essential,Product 11 Essential,Electronics,3,23.08,69.24,2024-02-21 20:57:04,United Kingdom,Desktop
INV_004428,CUST_01543,PROD_0026,PROD_0026,Product 26 Luxury,Product 26 Luxury,Electronics,8,165.24,1321.92,2024-04-23 02:32:27,United States,Desktop
INV_005760,CUST_02366,PROD_0019,PROD_0019,Product 19 Luxury,Product 19 Luxury,Electronics,2,59.19,118.38,2024-10-05 23:33:42,France,Desktop
INV_006573,CUST_02269,PROD_0035,PROD_0035,Product 35 Luxury,Product 35 Luxury,Electronics,4,172.91,691.64,2024-04-03 15:06:42,Germany,Desktop
INV_002092,CUST_02135,PROD_0031,PROD_0031,Product 31 Vintage,Product 31 Vintage,Electronics,2,150.26,300.52,2024-04-26 06:05:09,United Kingdom,Desktop
INV_006482,CUST_00911,PROD_0033,PROD_0033,Product 33 Modern,Product 33 Modern,Electronics,2,82.87,165.74,2024-05-13 08:01:16,United Kingdom,Desktop
INV_001040,CUST_00034,PROD_0014,PROD_0014,Product 14 Modern,Product 14 Modern,Electronics,1,29.33,29.33,2024-09-27 03:26:05,United States,Desktop
INV_000482,CUST_02342,PROD_0001,PROD_0001,Product 1 Luxury,Product 1 Luxury,Electronics,2,149.59,299.18,2024-09-10 03:33:55,United States,Desktop
INV_002206,CUST_02157,PROD_0020,PROD_0020,Product 20 Essential,Product 20 Essential,Electronics,1,77.18,77.18,2024-11-29 17:43:43,Japan,Desktop
INV_000194,CUST_02500,PROD_0033,PROD_0033,Product 33 Modern,Product 33 Modern,Electronics,2,82.87,165.74,2024-09-16 11:58:04,United States,Desktop
INV_003591,CUST_01713,PROD_0043,PROD_0043,Product 43 Vintage,Product 43 Vintage,Electronics,2,5.62,11.24,2024-04-05 21:54:52,United States,Desktop
INV_000726,CUST_00550,PROD_0037,PROD_0037,Product 37 Modern,Product 37 Modern,Electronics,1,17.38,17.38,2024-11-26 12:27:06,United Kingdom,Desktop
INV_000267,CUST_01034,PROD_0032,PROD_0032,Product 32 Eco,Product 32 Eco,Electronics,1,150.66,150.66,2024-05-05 13:07:48,United States,Desktop
INV_006934,CUST_01505,PROD_0037,PROD_0037,Product 37 Modern,Product 37 Modern,Electronics,1,17.38,17.38,2024-04-20 18:19:17,Germany,Desktop
INV_003582,CUST_00940,PROD_0020,PROD_0020,Product 20 Essential,Product 20 Essential,Electronics,1,77.18,77.18,2024-02-16 18:46:46,United States,Desktop
INV_003307,CUST_01923,PROD_0037,PROD_0037,Product 37 Modern,Product 37 Modern,Electronics,2,17.38,34.76,2024-03-17 00:12:10,United States,Desktop
