customer_id,recency_days,transaction_frequency,total_monetary_spend,r_score,f_score,m_score,rfm_score,customer_segment,cluster_id,avg_order_value
CUST_00106,196.1,5,4233.35,1,5,5,155,Loyal Customers,Cluster_4,846.67
CUST_00107,189.7,4,2255.36,1,4,3,143,Loyal Customers,Cluster_4,563.84
CUST_00108,65.6,4,3902.89,3,4,5,345,Loyal Customers,Cluster_4,975.72
CUST_00109,68.2,2,1132.68,3,2,2,322,Potential Loyalists,Cluster_3,566.34
CUST_00110,36.7,3,1149.51,4,4,2,442,Potential Loyalists,Cluster_3,383.17
CUST_00111,79.0,1,752.51,3,1,1,311,Potential Loyalists,Cluster_2,752.51
CUST_00112,64.9,4,4427.87,3,4,5,345,Loyal Customers,Cluster_4,1106.97
CUST_00113,70.1,3,1065.37,3,4,2,342,Potential Loyalists,Cluster_3,355.12
CUST_00114,325.7,1,358.36,1,1,1,111,Lost,Cluster_2,358.36
CUST_00115,11.2,5,2359.99,5,5,3,553,Loyal Customers,Cluster_1,472.0
CUST_00116,2.7,3,3291.34,5,4,4,544,Champions,Cluster_1,1097.11
CUST_00117,302.3,2,1473.52,1,2,2,122,Lost,Cluster_3,736.76
CUST_00118,76.9,3,1416.62,3,4,2,342,Potential Loyalists,Cluster_3,472.21
CUST_00119,31.0,3,2288.1,4,4,3,443,Loyal Customers,Cluster_1,762.7
CUST_00120,239.5,3,3794.44,1,4,5,145,Loyal Customers,Cluster_3,1264.81
CUST_00121,18.1,5,2963.38,5,5,4,554,Champions,Cluster_1,592.68
CUST_00122,138.6,3,2919.42,2,4,4,244,Loyal Customers,Cluster_3,973.14
CUST_00123,152.7,2,1221.85,2,2,2,222,Lost,Cluster_3,610.92
CUST_00125,24.1,3,1329.79,5,4,2,542,Potential Loyalists,Cluster_1,443.26
CUST_00126,49.4,4,4964.78,4,4,5,445,Champions,Cluster_4,1241.19
CUST_00127,181.9,1,1474.98,1,1,2,112,Lost,Cluster_2,1474.98
CUST_00128,50.4,3,2892.35,4,4,4,444,Champions,Cluster_3,964.12
CUST_00129,32.2,3,1604.8,4,4,2,442,Potential Loyalists,Cluster_1,534.93
CUST_00130,26.9,6,5083.87,5,5,5,555,Champions,Cluster_4,847.31
CUST_00131,192.6,1,965.89,1,1,1,111,Lost,Cluster_2,965.89
CUST_00133,107.0,2,546.46,2,2,1,221,Lost,Cluster_2,273.23
CUST_00134,60.7,2,901.77,3,2,1,321,Potential Loyalists,Cluster_3,450.88
CUST_00135,97.9,2,1383.12,3,2,2,322,Potential Loyalists,Cluster_3,691.56
CUST_00136,68.7,3,3493.25,3,4,4,344,Loyal Customers,Cluster_4,1164.42
CUST_00137,140.9,2,2018.08,2,2,3,223,Potential Loyalists,Cluster_3,1009.04
CUST_00138,288.6,1,470.28,1,1,1,111,Lost,Cluster_2,470.28
CUST_00139,131.0,5,5310.82,2,5,5,255,Loyal Customers,Cluster_4,1062.16
CUST_00140,41.6,2,1954.12,4,2,3,423,New Customers,Cluster_3,977.06
CUST_00141,75.5,3,1795.87,3,4,3,343,Loyal Customers,Cluster_3,598.62
CUST_00142,19.3,2,666.0,5,2,1,521,New Customers,Cluster_3,333.0
CUST_00143,85.1,3,4661.6,3,4,5,345,Loyal Customers,Cluster_4,1553.87
CUST_00144,288.9,3,1376.34,1,4,2,142,At Risk,Cluster_3,458.78
CUST_00145,103.4,4,3038.46,3,4,4,344,Loyal Customers,Cluster_4,759.62
CUST_00146,119.6,2,1226.14,2,2,2,222,Lost,Cluster_3,613.07
CUST_00147,96.0,2,934.7,3,2,1,321,Potential Loyalists,Cluster_3,467.35
CUST_00148,226.3,1,606.45,1,1,1,111,Lost,Cluster_2,606.45
CUST_00149,41.3,1,204.22,4,1,1,411,New Customers,Cluster_2,204.22
CUST_00150,159.7,1,830.89,2,1,1,211,Lost,Cluster_2,830.89
CUST_00151,151.8,3,2623.65,2,4,4,244,Loyal Customers,Cluster_3,874.55
CUST_00152,287.6,2,2561.51,1,2,3,123,Potential Loyalists,Cluster_3,1280.76
CUST_00153,11.3,2,1577.52,5,2,2,522,New Customers,Cluster_1,788.76
CUST_00154,220.3,5,4821.59,1,5,5,155,Loyal Customers,Cluster_4,964.32
CUST_00155,22.9,6,3010.52,5,5,4,554,Champions,Cluster_1,501.75
CUST_00156,332.0,1,1671.6,1,1,2,112,Lost,Cluster_2,1671.6
CUST_00157,59.0,3,2306.35,3,4,3,343,Loyal Customers,Cluster_3,768.78
CUST_00158,163.8,4,1704.54,2,4,2,242,At Risk,Cluster_3,426.13
CUST_00159,48.8,1,271.19,4,1,1,411,New Customers,Cluster_2,271.19
CUST_00160,8.1,3,1287.14,5,4,2,542,Potential Loyalists,Cluster_1,429.05
CUST_00161,79.7,4,1353.15,3,4,2,342,Potential Loyalists,Cluster_3,338.29
CUST_00162,35.0,7,3450.15,4,5,4,454,Champions,Cluster_4,492.88
CUST_00163,125.5,2,2556.23,2,2,3,223,Potential Loyalists,Cluster_3,1278.12
CUST_00164,16.9,4,1366.41,5,4,2,542,Potential Loyalists,Cluster_1,341.6
CUST_00165,54.3,5,3156.06,4,5,4,454,Champions,Cluster_4,631.21
CUST_00166,169.0,4,1515.91,2,4,2,242,At Risk,Cluster_3,378.98
CUST_00167,34.1,4,3782.02,4,4,5,445,Champions,Cluster_4,945.5
CUST_00168,217.8,2,1527.93,1,2,2,122,Lost,Cluster_3,763.97
CUST_00169,24.1,6,5095.08,5,5,5,555,Champions,Cluster_4,849.18
CUST_00171,215.5,1,1293.67,1,1,2,112,Lost,Cluster_2,1293.67
CUST_00172,129.9,4,5059.17,2,4,5,245,Loyal Customers,Cluster_4,1264.79
CUST_00173,46.5,4,3105.69,4,4,4,444,Champions,Cluster_4,776.42
CUST_00174,196.6,5,2691.71,1,5,4,154,Loyal Customers,Cluster_4,538.34
CUST_00175,97.7,3,1375.43,3,4,2,342,Potential Loyalists,Cluster_3,458.48
CUST_00176,232.6,2,1026.17,1,2,1,121,Lost,Cluster_3,513.09
CUST_00177,323.0,2,1641.02,1,2,2,122,Lost,Cluster_3,820.51
CUST_00178,83.6,4,1121.21,3,4,2,342,Potential Loyalists,Cluster_3,280.3
CUST_00179,22.8,2,2068.64,5,2,3,523,New Customers,Cluster_1,1034.32
CUST_00180,41.8,5,2236.51,4,5,3,453,Loyal Customers,Cluster_4,447.3
CUST_00181,99.2,5,2977.24,3,5,4,354,Loyal Customers,Cluster_4,595.45
CUST_00182,147.3,2,659.64,2,2,1,221,Lost,Cluster_2,329.82
CUST_00183,90.7,2,3989.35,3,2,5,325,Potential Loyalists,Cluster_3,1994.67
CUST_00184,7.1,4,2447.33,5,4,3,543,Loyal Customers,Cluster_1,611.83
CUST_00185,166.6,1,184.1,2,1,1,211,Lost,Cluster_2,184.1
CUST_00186,22.4,3,1727.86,5,4,2,542,Potential Loyalists,Cluster_1,575.95
CUST_00187,93.8,6,3685.49,3,5,5,355,Loyal Customers,Cluster_4,614.25
CUST_00188,32.9,7,4533.99,4,5,5,455,Champions,Cluster_4,647.71
CUST_00189,102.0,3,1750.86,3,4,2,342,Potential Loyalists,Cluster_3,583.62
CUST_00190,164.3,1,1423.9,2,1,2,212,Lost,Cluster_2,1423.9
CUST_00191,82.0,3,1744.34,3,4,2,342,Potential Loyalists,Cluster_3,581.45
CUST_00193,222.1,2,1036.68,1,2,2,122,Lost,Cluster_3,518.34
CUST_00194,224.9,3,1449.79,1,4,2,142,At Risk,Cluster_3,483.26
CUST_00195,60.7,2,1321.33,3,2,2,322,Potential Loyalists,Cluster_3,660.66
CUST_00196,29.8,7,4469.03,4,5,5,455,Champions,Cluster_4,638.43
CUST_00197,158.5,3,2575.47,2,4,3,243,Loyal Customers,Cluster_3,858.49
CUST_00198,98.1,1,507.58,3,1,1,311,Potential Loyalists,Cluster_2,507.58
CUST_00199,348.2,1,404.94,1,1,1,111,Lost,Cluster_2,404.94
CUST_00200,54.7,5,1332.54,4,5,2,452,Potential Loyalists,Cluster_4,266.51
CUST_00201,12.4,5,2219.59,5,5,3,553,Loyal Customers,Cluster_1,443.92
CUST_00202,16.4,6,3547.21,5,5,4,554,Champions,Cluster_1,591.2
CUST_00203,4.5,3,3020.33,5,4,4,544,Champions,Cluster_1,1006.78
CUST_00204,104.3,4,1696.04,2,4,2,242,At Risk,Cluster_3,424.01
CUST_00205,14.7,3,1363.65,5,4,2,542,Potential Loyalists,Cluster_1,454.55
CUST_00206,139.1,2,1049.67,2,2,2,222,Lost,Cluster_3,524.84
CUST_00207,6.1,2,2294.35,5,2,3,523,New Customers,Cluster_1,1147.17
CUST_00208,335.3,1,1597.16,1,1,2,112,Lost,Cluster_2,1597.16
CUST_00209,165.8,2,701.02,2,2,1,221,Lost,Cluster_2,350.51
CUST_00210,144.5,2,2168.98,2,2,3,223,Potential Loyalists,Cluster_3,1084.49
CUST_00211,139.4,4,1826.24,2,4,3,243,Loyal Customers,Cluster_3,456.56
CUST_00212,111.1,6,3074.45,2,5,4,254,Loyal Customers,Cluster_4,512.41
CUST_00213,34.4,2,310.3,4,2,1,421,New Customers,Cluster_2,155.15
CUST_00214,30.6,5,3826.37,4,5,5,455,Champions,Cluster_4,765.27
CUST_00215,6.8,1,467.38,5,1,1,511,New Customers,Cluster_2,467.38
CUST_00216,265.1,3,366.96,1,4,1,141,At Risk,Cluster_2,122.32
CUST_00217,9.3,5,2723.35,5,5,4,554,Champions,Cluster_1,544.67
CUST_00218,18.4,4,3695.8,5,4,5,545,Champions,Cluster_1,923.95
CUST_00219,212.0,1,536.88,1,1,1,111,Lost,Cluster_2,536.88
CUST_00220,45.3,2,1469.76,4,2,2,422,New Customers,Cluster_3,734.88
CUST_00222,27.8,3,4156.47,4,4,5,445,Champions,Cluster_1,1385.49
CUST_00223,153.2,1,810.95,2,1,1,211,Lost,Cluster_2,810.95
CUST_00224,54.0,6,6192.55,4,5,5,455,Champions,Cluster_4,1032.09
CUST_00225,166.1,2,542.41,2,2,1,221,Lost,Cluster_2,271.2
CUST_00226,129.8,2,3042.77,2,2,4,224,Potential Loyalists,Cluster_3,1521.38
CUST_00227,43.1,2,712.33,4,2,1,421,New Customers,Cluster_3,356.17
CUST_00228,189.9,1,842.96,1,1,1,111,Lost,Cluster_2,842.96
CUST_00229,148.8,3,2997.41,2,4,4,244,Loyal Customers,Cluster_3,999.14
CUST_00230,8.0,5,3738.21,5,5,5,555,Champions,Cluster_1,747.64
CUST_00231,165.9,2,1801.29,2,2,3,223,Potential Loyalists,Cluster_3,900.64
CUST_00232,109.2,3,1528.22,2,4,2,242,At Risk,Cluster_3,509.41
CUST_00233,154.0,4,1481.62,2,4,2,242,At Risk,Cluster_3,370.4
CUST_00234,52.4,2,1501.8,4,2,2,422,New Customers,Cluster_3,750.9
CUST_00235,227.7,2,1273.78,1,2,2,122,Lost,Cluster_3,636.89
CUST_00236,34.7,3,3053.84,4,4,4,444,Champions,Cluster_1,1017.95
CUST_00239,46.1,2,2299.62,4,2,3,423,New Customers,Cluster_3,1149.81
CUST_00240,141.1,2,814.85,2,2,1,221,Lost,Cluster_3,407.43
CUST_00241,38.1,2,516.24,4,2,1,421,New Customers,Cluster_2,258.12
CUST_00242,60.6,4,2827.03,3,4,4,344,Loyal Customers,Cluster_4,706.76
CUST_00243,13.4,3,2227.82,5,4,3,543,Loyal Customers,Cluster_1,742.61
CUST_00244,144.6,3,2904.6,2,4,4,244,Loyal Customers,Cluster_3,968.2
CUST_00245,73.8,6,4154.11,3,5,5,355,Loyal Customers,Cluster_4,692.35
CUST_00246,23.8,6,3917.37,5,5,5,555,Champions,Cluster_4,652.89
CUST_00247,129.2,3,1796.04,2,4,3,243,Loyal Customers,Cluster_3,598.68
CUST_00248,59.5,1,958.57,3,1,1,311,Potential Loyalists,Cluster_2,958.57
CUST_00249,10.0,3,2253.72,5,4,3,543,Loyal Customers,Cluster_1,751.24
CUST_00250,24.5,3,2079.12,5,4,3,543,Loyal Customers,Cluster_1,693.04
CUST_00251,109.0,4,1886.68,2,4,3,243,Loyal Customers,Cluster_4,471.67
CUST_00252,62.5,5,4509.58,3,5,5,355,Loyal Customers,Cluster_4,901.92
CUST_00253,104.4,1,124.44,2,1,1,211,Lost,Cluster_2,124.44
CUST_00254,115.2,3,1156.79,2,4,2,242,At Risk,Cluster_3,385.6
CUST_00255,97.8,1,310.28,3,1,1,311,Potential Loyalists,Cluster_2,310.28
CUST_00256,91.9,4,2209.69,3,4,3,343,Loyal Customers,Cluster_4,552.42
CUST_00257,141.8,2,2004.88,2,2,3,223,Potential Loyalists,Cluster_3,1002.44
CUST_00258,181.7,3,2758.0,1,4,4,144,Loyal Customers,Cluster_3,919.33
CUST_00259,58.1,3,4107.57,4,4,5,445,Champions,Cluster_4,1369.19
CUST_00260,72.4,5,4659.7,3,5,5,355,Loyal Customers,Cluster_4,931.94
CUST_00261,14.1,3,1684.17,5,4,2,542,Potential Loyalists,Cluster_1,561.39
CUST_00262,128.6,1,827.01,2,1,1,211,Lost,Cluster_2,827.01
CUST_00263,162.3,3,2390.37,2,4,3,243,Loyal Customers,Cluster_3,796.79
CUST_00264,119.8,3,1411.87,2,4,2,242,At Risk,Cluster_3,470.62
CUST_00265,55.4,3,3287.34,4,4,4,444,Champions,Cluster_4,1095.78
CUST_00266,18.6,4,2068.56,5,4,3,543,Loyal Customers,Cluster_1,517.14
CUST_00267,62.1,1,706.64,3,1,1,311,Potential Loyalists,Cluster_2,706.64
CUST_00268,46.1,6,5098.7,4,5,5,455,Champions,Cluster_4,849.78
CUST_00269,245.2,4,2898.55,1,4,4,144,Loyal Customers,Cluster_4,724.64
CUST_00270,144.9,2,920.41,2,2,1,221,Lost,Cluster_3,460.2
CUST_00271,51.2,5,2327.96,4,5,3,453,Loyal Customers,Cluster_4,465.59
CUST_00272,147.9,4,3046.99,2,4,4,244,Loyal Customers,Cluster_4,761.75
CUST_00273,231.3,1,872.58,1,1,1,111,Lost,Cluster_2,872.58
CUST_00274,33.9,2,2212.5,4,2,3,423,New Customers,Cluster_3,1106.25
CUST_00275,76.8,5,3160.8,3,5,4,354,Loyal Customers,Cluster_4,632.16
CUST_00276,130.4,5,3608.98,2,5,4,254,Loyal Customers,Cluster_4,721.8
CUST_00277,28.0,3,2127.15,4,4,3,443,Loyal Customers,Cluster_1,709.05
CUST_00279,5.1,4,2555.85,5,4,3,543,Loyal Customers,Cluster_1,638.96
CUST_00280,201.0,2,1361.75,1,2,2,122,Lost,Cluster_3,680.88
CUST_00281,134.9,2,1499.4,2,2,2,222,Lost,Cluster_3,749.7
CUST_00282,9.0,5,3373.72,5,5,4,554,Champions,Cluster_1,674.74
CUST_00283,3.4,2,2530.23,5,2,3,523,New Customers,Cluster_1,1265.12
CUST_00284,171.0,1,290.08,2,1,1,211,Lost,Cluster_2,290.08
CUST_00285,38.4,5,4691.77,4,5,5,455,Champions,Cluster_4,938.35
CUST_00286,16.4,4,3817.86,5,4,5,545,Champions,Cluster_1,954.47
CUST_00287,291.3,2,1938.9,1,2,3,123,Potential Loyalists,Cluster_3,969.45
CUST_00288,156.2,1,192.19,2,1,1,211,Lost,Cluster_2,192.19
CUST_00289,142.7,3,1747.37,2,4,2,242,At Risk,Cluster_3,582.46
CUST_00290,153.5,3,2045.22,2,4,3,243,Loyal Customers,Cluster_3,681.74
CUST_00291,58.3,4,2391.42,4,4,3,443,Loyal Customers,Cluster_4,597.86
CUST_00292,99.0,3,863.7,3,4,1,341,Potential Loyalists,Cluster_3,287.9
CUST_00293,194.7,4,3528.25,1,4,4,144,Loyal Customers,Cluster_4,882.06
CUST_00294,43.0,2,2007.66,4,2,3,423,New Customers,Cluster_3,1003.83
CUST_00295,161.0,2,2315.01,2,2,3,223,Potential Loyalists,Cluster_3,1157.51
CUST_00296,75.9,1,780.51,3,1,1,311,Potential Loyalists,Cluster_2,780.51
CUST_00297,170.6,2,502.77,2,2,1,221,Lost,Cluster_2,251.38
CUST_00298,146.1,3,5364.12,2,4,5,245,Loyal Customers,Cluster_4,1788.04
CUST_00299,17.4,8,2762.31,5,5,4,554,Champions,Cluster_1,345.29
CUST_00300,68.1,2,590.21,3,2,1,321,Potential Loyalists,Cluster_2,295.11
CUST_00301,256.3,1,811.58,1,1,1,111,Lost,Cluster_2,811.58
CUST_00302,16.8,2,1902.36,5,2,3,523,New Customers,Cluster_1,951.18
CUST_00303,170.1,4,1667.9,2,4,2,242,At Risk,Cluster_3,416.98
CUST_00304,47.5,7,3825.37,4,5,5,455,Champions,Cluster_4,546.48
CUST_00305,9.9,6,4014.29,5,5,5,555,Champions,Cluster_1,669.05
CUST_00306,293.4,1,769.99,1,1,1,111,Lost,Cluster_2,769.99
CUST_00307,21.1,3,3274.06,5,4,4,544,Champions,Cluster_1,1091.35
CUST_00308,153.5,4,3644.89,2,4,4,244,Loyal Customers,Cluster_4,911.22
CUST_00309,23.0,8,5314.35,5,5,5,555,Champions,Cluster_4,664.29
CUST_00311,117.9,2,1319.21,2,2,2,222,Lost,Cluster_3,659.61
CUST_00312,54.4,5,3679.24,4,5,5,455,Champions,Cluster_4,735.85
CUST_00313,57.5,5,2551.1,4,5,3,453,Loyal Customers,Cluster_4,510.22
CUST_00314,72.6,3,1016.75,3,4,1,341,Potential Loyalists,Cluster_3,338.92
CUST_00315,113.0,4,3828.48,2,4,5,245,Loyal Customers,Cluster_4,957.12
CUST_00316,96.8,4,2720.29,3,4,4,344,Loyal Customers,Cluster_4,680.07
CUST_00318,156.8,3,1031.09,2,4,1,241,At Risk,Cluster_3,343.7
CUST_00319,31.2,3,3359.55,4,4,4,444,Champions,Cluster_1,1119.85
CUST_00320,78.9,4,4980.23,3,4,5,345,Loyal Customers,Cluster_4,1245.06
CUST_00321,34.6,2,301.48,4,2,1,421,New Customers,Cluster_2,150.74
CUST_00322,103.5,5,2251.26,2,5,3,253,Loyal Customers,Cluster_4,450.25
CUST_00323,151.1,2,917.48,2,2,1,221,Lost,Cluster_3,458.74
CUST_00324,167.4,3,1295.35,2,4,2,242,At Risk,Cluster_3,431.78
CUST_00325,41.0,3,1883.11,4,4,3,443,Loyal Customers,Cluster_3,627.7
CUST_00326,215.7,4,2565.16,1,4,3,143,Loyal Customers,Cluster_4,641.29
CUST_00327,50.8,3,911.16,4,4,1,441,Potential Loyalists,Cluster_3,303.72
CUST_00328,284.2,2,850.96,1,2,1,121,Lost,Cluster_3,425.48
CUST_00329,46.3,1,805.9,4,1,1,411,New Customers,Cluster_2,805.9
CUST_00330,22.0,3,1127.6,5,4,2,542,Potential Loyalists,Cluster_1,375.87
CUST_00331,21.3,3,1823.87,5,4,3,543,Loyal Customers,Cluster_1,607.96
CUST_00332,75.7,2,1443.44,3,2,2,322,Potential Loyalists,Cluster_3,721.72
CUST_00333,60.2,4,5508.76,3,4,5,345,Loyal Customers,Cluster_4,1377.19
CUST_00334,8.2,4,2385.39,5,4,3,543,Loyal Customers,Cluster_1,596.35
CUST_00336,49.6,4,3969.92,4,4,5,445,Champions,Cluster_4,992.48
CUST_00337,240.2,1,784.97,1,1,1,111,Lost,Cluster_2,784.97
CUST_00338,117.2,2,1594.39,2,2,2,222,Lost,Cluster_3,797.2
CUST_00339,153.0,2,1287.34,2,2,2,222,Lost,Cluster_3,643.67
CUST_00340,50.5,3,1155.21,4,4,2,442,Potential Loyalists,Cluster_3,385.07
CUST_00341,149.1,3,1849.53,2,4,3,243,Loyal Customers,Cluster_3,616.51
CUST_00342,181.1,2,1061.47,1,2,2,122,Lost,Cluster_3,530.74
