invoice_no,customer_id,stock_code,description,quantity,unit_price,transaction_date,country,total_spend
INV_004022,CUST_00700,PROD_0008,Product 8 Eco,1,162.83,2024-09-20 18:37:48,Germany,162.83
INV_007277,CUST_01375,PROD_0013,Product 13 Eco,1,162.38,2024-12-10 05:14:57,United States,162.38
INV_007929,CUST_02412,PROD_0028,Product 28 Vintage,3,175.88,2024-12-28 00:11:50,United States,527.64
INV_007864,CUST_01743,PROD_0036,Product 36 Vintage,7,159.45,2024-10-25 07:22:56,United States,1116.15
INV_006463,CUST_00512,PROD_0007,Product 7 Eco,3,47.98,2024-03-06 05:07:28,United States,143.94
INV_006875,CUST_00202,PROD_0018,Product 18 Essential,3,171.78,2024-01-10 14:54:10,United Kingdom,515.34
INV_006273,CUST_02344,PROD_0003,Product 3 Luxury,1,21.94,2024-02-12 05:50:39,United Kingdom,21.94
INV_007759,CUST_02277,PROD_0014,Product 14 Modern,2,29.33,2024-12-11 11:04:14,United States,58.66
INV_006226,CUST_00344,PROD_0034,Product 34 Vintage,4,104.35,2024-12-22 13:35:43,Germany,417.4
INV_004156,CUST_00295,PROD_0032,Product 32 Eco,1,150.66,2024-05-12 07:39:34,United States,150.66
INV_003850,CUST_02232,PROD_0029,Product 29 Essential,2,132.8,2024-02-08 17:17:26,United Kingdom,265.6
INV_002943,CUST_02416,PROD_0033,Product 33 Modern,1,82.87,2024-06-12 19:03:35,United States,82.87
INV_001918,CUST_00230,PROD_0014,Product 14 Modern,1,29.33,2024-12-24 00:27:54,France,29.33
INV_006234,CUST_01700,PROD_0031,Product 31 Vintage,1,150.26,2024-02-13 12:03:07,United Kingdom,150.26
INV_006795,CUST_01955,PROD_0017,Product 17 Luxury,1,133.94,2024-09-15 02:21:59,United Kingdom,133.94
INV_005878,CUST_00785,PROD_0001,Product 1 Luxury,2,149.59,2024-05-14 00:25:52,United States,299.18
INV_005102,CUST_00606,PROD_0008,Product 8 Eco,5,162.83,2024-01-25 18:26:35,Germany,814.15
INV_002860,CUST_02063,PROD_0013,Product 13 Eco,2,162.38,2024-01-13 09:58:55,France,324.76
INV_005218,CUST_01196,PROD_0027,Product 27 Essential,6,57.2,2024-07-15 08:28:59,United States,343.2
INV_001527,CUST_01159,PROD_0035,Product 35 Luxury,1,172.91,2024-01-10 14:16:26,Canada,172.91
INV_001092,CUST_02047,PROD_0023,Product 23 Eco,1,36.85,2024-11-29 17:48:49,United Kingdom,36.85
INV_001367,CUST_00927,PROD_0003,Product 3 Luxury,4,21.94,2024-09-26 08:07:08,Canada,87.76
INV_000556,CUST_02237,PROD_0042,Product 42 Essential,3,62.22,2024-05-11 11:29:20,France,186.66
INV_007065,CUST_02268,PROD_0015,Product 15 Modern,4,112.64,2024-05-14 14:39:10,Germany,450.56
INV_005008,CUST_02452,PROD_0003,Product 3 Luxury,2,21.94,2024-07-01 23:03:26,United States,43.88
INV_002918,CUST_02347,PROD_0029,Product 29 Essential,1,132.8,2024-09-18 03:32:14,United States,132.8
INV_000060,CUST_02167,PROD_0018,Product 18 Essential,3,171.78,2024-01-04 00:54:59,Germany,515.34
INV_000544,CUST_00589,PROD_0002,Product 2 Vintage,1,32.2,2024-04-23 02:51:06,United States,32.2
INV_005654,CUST_01737,PROD_0032,Product 32 Eco,2,150.66,2024-09-17 01:54:47,Germany,301.32
INV_006872,CUST_00516,PROD_0046,Product 46 Essential,1,123.74,2024-02-08 20:08:42,United Kingdom,123.74
INV_004629,CUST_01845,PROD_0014,Product 14 Modern,1,29.33,2024-07-13 23:33:11,United States,29.33
INV_003042,CUST_01860,PROD_0050,Product 50 Luxury,1,176.34,2024-01-01 18:13:17,Australia,176.34
INV_004513,CUST_01511,PROD_0042,Product 42 Essential,1,62.22,2024-12-21 15:56:27,United States,62.22
INV_005091,CUST_00528,PROD_0031,Product 31 Vintage,2,150.26,2024-02-07 12:34:36,Japan,300.52
INV_002536,CUST_00406,PROD_0007,Product 7 Eco,5,47.98,2024-11-14 07:05:59,United Kingdom,239.9
INV_007567,CUST_01605,PROD_0010,Product 10 Essential,1,35.31,2024-03-14 21:51:37,United States,35.31
INV_002270,CUST_00247,PROD_0035,Product 35 Luxury,5,172.91,2024-04-10 06:57:29,Australia,864.55
INV_000231,CUST_00925,PROD_0038,Product 38 Modern,2,199.23,2024-10-28 05:59:16,United Kingdom,398.46
INV_004572,CUST_00033,PROD_0031,Product 31 Vintage,1,150.26,2024-03-02 15:39:42,United States,150.26
INV_003194,CUST_00454,PROD_0017,Product 17 Luxury,3,133.94,2024-02-20 03:39:01,United Kingdom,401.82
INV_004705,CUST_00728,PROD_0027,Product 27 Essential,1,57.2,2024-06-04 08:46:36,United States,57.2
INV_001454,CUST_00909,PROD_0024,Product 24 Modern,1,197.95,2024-01-01 20:28:37,United States,197.95
INV_004064,CUST_02297,PROD_0020,Product 20 Essential,3,77.18,2024-03-01 05:02:58,Australia,231.54
INV_001520,CUST_00895,PROD_0019,Product 19 Luxury,1,59.19,2024-10-19 07:15:34,United Kingdom,59.19
INV_006819,CUST_02182,PROD_0045,Product 45 Eco,2,174.74,2024-09-27 13:36:04,United Kingdom,349.48
INV_001753,CUST_01065,PROD_0012,Product 12 Luxury,1,170.25,2024-05-20 04:24:35,United States,170.25
INV_000884,CUST_01557,PROD_0035,Product 35 Luxury,3,172.91,2024-02-03 06:43:37,France,518.73
INV_000423,CUST_01142,PROD_0003,Product 3 Luxury,1,21.94,2024-08-10 22:59:59,United States,21.94
INV_003135,CUST_01532,PROD_0034,Product 34 Vintage,1,104.35,2024-07-23 01:47:17,Germany,104.35
INV_005633,CUST_01179,PROD_0025,Product 25 Eco,1,138.49,2024-07-12 01:37:11,France,138.49
INV_003891,CUST_01481,PROD_0001,Product 1 Luxury,1,149.59,2024-12-20 11:09:31,France,149.59
INV_003272,CUST_02043,PROD_0029,Product 29 Essential,2,132.8,2024-04-25 04:38:58,United States,265.6
INV_001392,CUST_00483,PROD_0004,Product 4 Modern,5,10.8,2024-04-19 19:01:05,United States,54.0
INV_001241,CUST_01929,PROD_0050,Product 50 Luxury,1,176.34,2024-07-08 22:42:45,Canada,176.34
INV_004871,CUST_00378,PROD_0022,Product 22 Luxury,3,128.81,2024-08-04 19:38:45,France,386.43
INV_001937,CUST_02148,PROD_0026,Product 26 Luxury,4,165.24,2024-04-05 15:10:39,United States,660.96
INV_003393,CUST_00265,PROD_0047,Product 47 Vintage,1,153.68,2024-09-07 02:23:22,United States,153.68
INV_004680,CUST_02044,PROD_0024,Product 24 Modern,1,197.95,2024-03-22 19:16:58,United Kingdom,197.95
INV_007852,CUST_00836,PROD_0035,Product 35 Luxury,2,172.91,2024-06-15 02:42:09,United States,345.82
INV_000082,CUST_00666,PROD_0022,Product 22 Luxury,1,128.81,2024-11-06 15:29:14,France,128.81
INV_004956,CUST_00141,PROD_0021,Product 21 Vintage,1,141.84,2024-10-17 11:16:05,Canada,141.84
INV_000785,CUST_02449,PROD_0032,Product 32 Eco,1,150.66,2024-09-17 23:42:51,Germany,150.66
INV_002733,CUST_02451,PROD_0037,Product 37 Modern,6,17.38,2024-10-02 13:38:02,Germany,104.28
INV_000213,CUST_01984,PROD_0030,Product 30 Modern,1,32.85,2024-04-17 09:09:47,Germany,32.85
INV_003781,CUST_01489,PROD_0006,Product 6 Luxury,1,43.76,2024-05-17 05:37:58,United States,43.76
INV_006380,CUST_02237,PROD_0003,Product 3 Luxury,2,21.94,2024-08-10 16:48:27,Japan,43.88
INV_001407,CUST_00162,PROD_0011,Product 11 Essential,1,23.08,2024-11-26 23:32:00,United States,23.08
INV_001673,CUST_00022,PROD_0035,Product 35 Luxury,3,172.91,2024-11-08 09:15:57,United States,518.73
INV_004640,CUST_01744,PROD_0003,Product 3 Luxury,2,21.94,2024-05-11 01:22:17,Germany,43.88
INV_003872,CUST_00518,PROD_0005,Product 5 Vintage,2,103.53,2024-07-14 20:00:58,United States,207.06
INV_004061,CUST_00003,PROD_0010,Product 10 Essential,1,35.31,2024-01-20 09:07:14,United States,35.31
INV_000205,CUST_00997,PROD_0017,Product 17 Luxury,1,133.94,2024-04-28 22:02:49,Germany,133.94
INV_007554,CUST_02125,PROD_0046,Product 46 Essential,3,123.74,2024-05-15 01:14:35,United States,371.22
INV_006091,CUST_02342,PROD_0027,Product 27 Essential,3,57.2,2024-01-09 07:06:09,Germany,171.6
INV_004064,CUST_02297,PROD_0008,Product 8 Eco,2,162.83,2024-03-01 05:02:58,Australia,325.66
INV_004483,CUST_00830,PROD_0005,Product 5 Vintage,1,103.53,2024-01-31 02:07:47,United Kingdom,103.53
INV_000052,CUST_01873,PROD_0030,Product 30 Modern,1,32.85,2024-05-02 18:59:06,Australia,32.85
INV_002007,CUST_01800,PROD_0027,Product 27 Essential,1,57.2,2024-12-02 18:13:41,United Kingdom,57.2
INV_001186,CUST_02017,PROD_0015,Product 15 Modern,3,112.64,2024-07-29 12:58:03,United States,337.92
INV_002402,CUST_01960,PROD_0009,Product 9 Luxury,1,141.13,2024-10-13 08:52:49,Australia,141.13
INV_001182,CUST_01303,PROD_0006,Product 6 Luxury,2,43.76,2024-11-09 02:25:26,Germany,87.52
INV_000127,CUST_00721,PROD_0010,Product 10 Essential,1,35.31,2024-11-08 06:50:49,Australia,35.31
INV_001759,CUST_01166,PROD_0038,Product 38 Modern,1,199.23,2024-05-17 21:51:22,United States,199.23
INV_000675,CUST_02306,PROD_0010,Product 10 Essential,5,35.31,2024-04-26 10:15:02,United Kingdom,176.55
INV_007487,CUST_00116,PROD_0043,Product 43 Vintage,2,5.62,2024-06-27 19:04:25,Australia,11.24
INV_004779,CUST_02267,PROD_0018,Product 18 Essential,1,171.78,2024-07-26 16:16:02,France,171.78
INV_006745,CUST_02483,PROD_0029,Product 29 Essential,3,132.8,2024-07-24 12:23:19,Japan,398.4
INV_003887,CUST_02374,PROD_0012,Product 12 Luxury,1,170.25,2024-12-02 16:27:27,United States,170.25
INV_000186,CUST_01884,PROD_0014,Product 14 Modern,2,29.33,2024-10-01 16:35:39,United States,58.66
INV_003447,CUST_00368,PROD_0042,Product 42 Essential,2,62.22,2024-10-29 00:58:35,United Kingdom,124.44
INV_002588,CUST_02014,PROD_0007,Product 7 Eco,1,47.98,2024-06-16 06:14:20,United States,47.98
INV_001070,CUST_00057,PROD_0031,Product 31 Vintage,1,150.26,2024-04-11 19:44:38,United States,150.26
INV_005338,CUST_02480,PROD_0030,Product 30 Modern,2,32.85,2024-10-01 06:57:02,United States,65.7
INV_002459,CUST_02009,PROD_0047,Product 47 Vintage,2,153.68,2024-05-03 09:43:02,United Kingdom,307.36
INV_007951,CUST_00518,PROD_0044,Product 44 Essential,1,153.57,2024-07-20 07:01:29,Germany,153.57
INV_007767,CUST_01249,PROD_0023,Product 23 Eco,3,36.85,2024-10-28 17:53:56,United States,110.55
INV_002942,CUST_00115,PROD_0038,Product 38 Modern,2,199.23,2024-11-03 06:33:10,United States,398.46
INV_000918,CUST_02310,PROD_0025,Product 25 Eco,1,138.49,2024-03-18 14:16:17,United Kingdom,138.49
INV_000867,CUST_02225,PROD_0007,Product 7 Eco,2,47.98,2024-08-06 20:17:33,Germany,95.96
INV_000905,CUST_01011,PROD_0021,Product 21 Vintage,5,141.84,2024-10-06 23:16:11,United Kingdom,709.2
INV_004400,CUST_00452,PROD_0038,Product 38 Modern,4,199.23,2024-08-26 04:24:26,United Kingdom,796.92
INV_000745,CUST_00898,PROD_0011,Product 11 Essential,3,23.08,2024-02-21 20:57:04,United Kingdom,69.24
INV_004428,CUST_01543,PROD_0026,Product 26 Luxury,8,165.24,2024-04-23 02:32:27,United States,1321.92
INV_005760,CUST_02366,PROD_0019,Product 19 Luxury,2,59.19,2024-10-05 23:33:42,France,118.38
INV_006573,CUST_02269,PROD_0035,Product 35 Luxury,4,172.91,2024-04-03 15:06:42,Germany,691.64
INV_002092,CUST_02135,PROD_0031,Product 31 Vintage,2,150.26,2024-04-26 06:05:09,United Kingdom,300.52
INV_006482,CUST_00911,PROD_0033,Product 33 Modern,2,82.87,2024-05-13 08:01:16,United Kingdom,165.74
INV_001040,CUST_00034,PROD_0014,Product 14 Modern,1,29.33,2024-09-27 03:26:05,United States,29.33
INV_000482,CUST_02342,PROD_0001,Product 1 Luxury,2,149.59,2024-09-10 03:33:55,United States,299.18
INV_002206,CUST_02157,PROD_0020,Product 20 Essential,1,77.18,2024-11-29 17:43:43,Japan,77.18
INV_000194,CUST_02500,PROD_0033,Product 33 Modern,2,82.87,2024-09-16 11:58:04,United States,165.74
INV_003591,CUST_01713,PROD_0043,Product 43 Vintage,2,5.62,2024-04-05 21:54:52,United States,11.24
INV_000726,CUST_00550,PROD_0037,Product 37 Modern,1,17.38,2024-11-26 12:27:06,United Kingdom,17.38
INV_000267,CUST_01034,PROD_0032,Product 32 Eco,1,150.66,2024-05-05 13:07:48,United States,150.66
INV_006934,CUST_01505,PROD_0037,Product 37 Modern,1,17.38,2024-04-20 18:19:17,Germany,17.38
INV_003582,CUST_00940,PROD_0020,Product 20 Essential,1,77.18,2024-02-16 18:46:46,United States,77.18
INV_003307,CUST_01923,PROD_0037,Product 37 Modern,2,17.38,2024-03-17 00:12:10,United States,34.76
INV_006260,CUST_00190,PROD_0034,Product 34 Vintage,5,104.35,2024-07-20 16:35:33,Germany,521.75
INV_006296,CUST_01215,PROD_0013,Product 13 Eco,1,162.38,2024-11-18 10:47:27,United Kingdom,162.38
INV_007881,CUST_01935,PROD_0047,Product 47 Vintage,2,153.68,2024-04-01 23:24:07,Australia,307.36
INV_006829,CUST_00953,PROD_0013,Product 13 Eco,3,162.38,2024-03-23 20:30:29,United Kingdom,487.14
INV_001888,CUST_01467,PROD_0018,Product 18 Essential,2,171.78,2024-09-18 22:43:34,United Kingdom,343.56
INV_004177,CUST_00571,PROD_0028,Product 28 Vintage,1,175.88,2024-03-20 07:35:32,United Kingdom,175.88
INV_007738,CUST_01665,PROD_0003,Product 3 Luxury,2,21.94,2024-08-16 09:44:44,United Kingdom,43.88
INV_000961,CUST_02200,PROD_0015,Product 15 Modern,2,112.64,2024-03-13 14:35:31,United States,225.28
INV_004324,CUST_02087,PROD_0027,Product 27 Essential,1,57.2,2024-02-02 12:58:28,United States,57.2
INV_003537,CUST_01529,PROD_0012,Product 12 Luxury,1,170.25,2024-02-13 23:24:46,United States,170.25
INV_007010,CUST_01290,PROD_0001,Product 1 Luxury,1,149.59,2024-04-30 03:09:53,United States,149.59
INV_001364,CUST_00058,PROD_0013,Product 13 Eco,2,162.38,2024-12-12 10:06:07,United States,324.76
INV_004028,CUST_02061,PROD_0044,Product 44 Essential,5,153.57,2024-03-05 23:23:35,Germany,767.85
INV_001216,CUST_00006,PROD_0001,Product 1 Luxury,1,149.59,2024-01-19 16:46:00,United States,149.59
INV_002694,CUST_00558,PROD_0001,Product 1 Luxury,4,149.59,2024-01-02 04:40:06,United States,598.36
INV_006238,CUST_01081,PROD_0014,Product 14 Modern,1,29.33,2024-10-10 05:12:23,United States,29.33
INV_000169,CUST_00625,PROD_0002,Product 2 Vintage,2,32.2,2024-04-02 15:24:00,United States,64.4
INV_003088,CUST_02121,PROD_0016,Product 16 Eco,3,117.57,2024-08-15 18:00:58,Germany,352.71
INV_006094,CUST_00735,PROD_0046,Product 46 Essential,8,123.74,2024-03-17 01:30:38,France,989.92
INV_003715,CUST_00994,PROD_0016,Product 16 Eco,2,117.57,2024-03-22 20:12:52,France,235.14
INV_005016,CUST_01996,PROD_0001,Product 1 Luxury,1,149.59,2024-10-21 13:21:18,United States,149.59
INV_004269,CUST_00318,PROD_0037,Product 37 Modern,3,17.38,2024-07-15 21:00:14,United States,52.14
INV_004655,CUST_00323,PROD_0006,Product 6 Luxury,1,43.76,2024-05-11 04:16:12,Australia,43.76
INV_000976,CUST_01184,PROD_0026,Product 26 Luxury,3,165.24,2024-02-24 11:39:30,United States,495.72
INV_000190,CUST_01785,PROD_0038,Product 38 Modern,5,199.23,2024-11-16 16:24:15,Germany,996.15
INV_006967,CUST_02263,PROD_0006,Product 6 Luxury,1,43.76,2024-02-11 14:44:22,United States,43.76
INV_006169,CUST_02363,PROD_0048,Product 48 Eco,2,184.1,2024-05-25 18:17:14,Germany,368.2
INV_006721,CUST_00815,PROD_0016,Product 16 Eco,1,117.57,2024-09-17 14:38:47,France,117.57
INV_004051,CUST_02322,PROD_0013,Product 13 Eco,5,162.38,2024-11-03 18:52:25,France,811.9
INV_006080,CUST_02451,PROD_0038,Product 38 Modern,2,199.23,2024-07-27 12:11:15,Germany,398.46
INV_007743,CUST_01770,PROD_0050,Product 50 Luxury,2,176.34,2024-06-12 23:38:23,United States,352.68
INV_003767,CUST_00577,PROD_0048,Product 48 Eco,2,184.1,2024-10-25 13:58:30,Germany,368.2
INV_000367,CUST_02213,PROD_0025,Product 25 Eco,1,138.49,2024-06-11 18:32:40,United Kingdom,138.49
INV_006514,CUST_01958,PROD_0047,Product 47 Vintage,1,153.68,2024-01-03 14:41:44,United States,153.68
INV_004451,CUST_00966,PROD_0006,Product 6 Luxury,5,43.76,2024-05-04 23:44:49,United Kingdom,218.8
INV_007100,CUST_00355,PROD_0036,Product 36 Vintage,1,159.45,2024-12-06 16:37:25,United Kingdom,159.45
INV_002114,CUST_01588,PROD_0025,Product 25 Eco,1,138.49,2024-10-04 03:57:19,Canada,138.49
INV_000416,CUST_01683,PROD_0002,Product 2 Vintage,4,32.2,2024-05-17 07:46:22,Canada,128.8
INV_006685,CUST_00032,PROD_0038,Product 38 Modern,2,199.23,2024-03-27 03:40:11,Germany,398.46
INV_005606,CUST_01958,PROD_0015,Product 15 Modern,1,112.64,2024-01-26 22:47:49,Japan,112.64
INV_000973,CUST_00565,PROD_0007,Product 7 Eco,2,47.98,2024-08-11 05:34:50,United States,95.96
INV_002002,CUST_00792,PROD_0029,Product 29 Essential,1,132.8,2024-03-28 21:01:04,United States,132.8
INV_000788,CUST_00890,PROD_0034,Product 34 Vintage,4,104.35,2024-10-19 23:23:03,Canada,417.4
INV_002608,CUST_02327,PROD_0006,Product 6 Luxury,2,43.76,2024-07-18 21:54:33,Canada,87.52
INV_004549,CUST_00783,PROD_0042,Product 42 Essential,1,62.22,2024-10-17 06:21:05,Germany,62.22
INV_002123,CUST_01807,PROD_0022,Product 22 Luxury,2,128.81,2024-09-17 15:19:46,United States,257.62
INV_006220,CUST_00507,PROD_0037,Product 37 Modern,6,17.38,2024-07-30 09:58:11,United States,104.28
INV_002532,CUST_00120,PROD_0010,Product 10 Essential,6,35.31,2024-02-05 06:07:28,United States,211.86
INV_001550,CUST_02485,PROD_0041,Product 41 Eco,1,154.87,2024-02-03 14:17:13,United States,154.87
INV_006946,CUST_02208,PROD_0043,Product 43 Vintage,1,5.62,2024-05-27 09:15:40,Germany,5.62
INV_002974,CUST_00470,PROD_0014,Product 14 Modern,1,29.33,2024-02-08 13:51:23,United Kingdom,29.33
INV_001960,CUST_00035,PROD_0018,Product 18 Essential,1,171.78,2024-01-26 20:44:11,United States,171.78
INV_000246,CUST_00921,PROD_0029,Product 29 Essential,1,132.8,2024-09-08 12:23:35,United States,132.8
INV_007729,CUST_01787,PROD_0037,Product 37 Modern,2,17.38,2024-11-10 01:17:18,United States,34.76
INV_002052,CUST_00133,PROD_0019,Product 19 Luxury,2,59.19,2024-09-16 00:51:30,United Kingdom,118.38
INV_005768,CUST_01289,PROD_0018,Product 18 Essential,3,171.78,2024-07-08 05:14:03,United States,515.34
INV_003539,CUST_00483,PROD_0029,Product 29 Essential,1,132.8,2024-04-22 15:35:57,United States,132.8
INV_000440,CUST_00883,PROD_0007,Product 7 Eco,1,47.98,2024-10-20 04:34:48,United Kingdom,47.98
INV_001131,CUST_01337,PROD_0018,Product 18 Essential,4,171.78,2024-05-03 12:30:46,United Kingdom,687.12
INV_005907,CUST_02494,PROD_0002,Product 2 Vintage,3,32.2,2024-08-10 02:28:20,United States,96.6
INV_005787,CUST_01105,PROD_0050,Product 50 Luxury,2,176.34,2024-01-24 06:11:13,United States,352.68
INV_000751,CUST_02153,PROD_0045,Product 45 Eco,2,174.74,2024-06-22 11:59:34,United Kingdom,349.48
INV_007542,CUST_00071,PROD_0009,Product 9 Luxury,2,141.13,2024-07-23 05:02:23,Germany,282.26
INV_004206,CUST_01001,PROD_0029,Product 29 Essential,2,132.8,2024-04-23 13:29:02,United States,265.6
INV_006284,CUST_00509,PROD_0019,Product 19 Luxury,6,59.19,2024-01-21 17:43:38,United States,355.14
INV_001223,CUST_01070,PROD_0026,Product 26 Luxury,1,165.24,2024-02-10 16:06:29,United States,165.24
INV_004349,CUST_02340,PROD_0023,Product 23 Eco,2,36.85,2024-06-14 15:17:31,Germany,73.7
INV_000574,CUST_00740,PROD_0032,Product 32 Eco,1,150.66,2024-07-30 20:11:23,United States,150.66
INV_002661,CUST_01284,PROD_0009,Product 9 Luxury,1,141.13,2024-05-07 21:10:01,France,141.13
INV_006469,CUST_01205,PROD_0023,Product 23 Eco,2,36.85,2024-03-13 02:44:45,United Kingdom,73.7
INV_001579,CUST_00551,PROD_0027,Product 27 Essential,1,57.2,2024-09-20 22:08:46,Germany,57.2
INV_007791,CUST_01510,PROD_0015,Product 15 Modern,1,112.64,2024-09-27 06:32:54,Australia,112.64
INV_003723,CUST_00052,PROD_0002,Product 2 Vintage,1,32.2,2024-08-09 01:10:17,France,32.2
INV_000715,CUST_01177,PROD_0011,Product 11 Essential,2,23.08,2024-05-04 17:29:59,United States,46.16
INV_006321,CUST_00483,PROD_0036,Product 36 Vintage,5,159.45,2024-02-25 07:47:19,Canada,797.25
INV_004520,CUST_02009,PROD_0045,Product 45 Eco,1,174.74,2024-03-08 11:39:46,United Kingdom,174.74
INV_004498,CUST_01944,PROD_0008,Product 8 Eco,2,162.83,2024-05-17 20:45:42,United States,325.66
INV_007687,CUST_00330,PROD_0005,Product 5 Vintage,2,103.53,2024-12-10 00:27:42,United States,207.06
INV_006442,CUST_00376,PROD_0041,Product 41 Eco,6,154.87,2024-05-18 14:54:07,Australia,929.22
