stock_code_A,stock_code_B,item_A_name,item_B_name,support,confidence,lift
PROD_0044,PROD_0050,Product 44 Essential,Product 50 Luxury,0.00536,0.0814,1.35
PROD_0025,PROD_0035,Product 25 Eco,Product 35 Luxury,0.00562,0.0881,1.35
PROD_0035,PROD_0025,Product 35 Luxury,Product 25 Eco,0.00562,0.0864,1.35
PROD_0013,PROD_0003,Product 13 Eco,Product 3 Luxury,0.0051,0.0815,1.35
PROD_0003,PROD_0013,Product 3 Luxury,Product 13 Eco,0.0051,0.0843,1.35
PROD_0022,PROD_0047,Product 22 Luxury,Product 47 Vintage,0.00536,0.0848,1.34
PROD_0047,PROD_0022,Product 47 Vintage,Product 22 Luxury,0.00536,0.0848,1.34
PROD_0034,PROD_0020,Product 34 Vintage,Product 20 Essential,0.00536,0.088,1.34
PROD_0020,PROD_0034,Product 20 Essential,Product 34 Vintage,0.00536,0.0819,1.34
PROD_0032,PROD_0044,Product 32 Eco,Product 44 Essential,0.00588,0.0875,1.33
PROD_0044,PROD_0032,Product 44 Essential,Product 32 Eco,0.00588,0.0893,1.33
PROD_0016,PROD_0033,Product 16 Eco,Product 33 Modern,0.00523,0.0866,1.33
PROD_0033,PROD_0016,Product 33 Modern,Product 16 Eco,0.00523,0.0805,1.33
PROD_0018,PROD_0038,Product 18 Essential,Product 38 Modern,0.00562,0.086,1.33
PROD_0038,PROD_0018,Product 38 Modern,Product 18 Essential,0.00562,0.0869,1.33
PROD_0003,PROD_0004,Product 3 Luxury,Product 4 Modern,0.0051,0.0843,1.32
PROD_0004,PROD_0003,Product 4 Modern,Product 3 Luxury,0.0051,0.08,1.32
PROD_0008,PROD_0030,Product 8 Eco,Product 30 Modern,0.00549,0.0881,1.32
PROD_0030,PROD_0008,Product 30 Modern,Product 8 Eco,0.00549,0.0825,1.32
PROD_0042,PROD_0026,Product 42 Essential,Product 26 Luxury,0.00549,0.0863,1.32
PROD_0026,PROD_0042,Product 26 Luxury,Product 42 Essential,0.00549,0.0839,1.32
PROD_0030,PROD_0026,Product 30 Modern,Product 26 Luxury,0.00575,0.0865,1.32
PROD_0026,PROD_0030,Product 26 Luxury,Product 30 Modern,0.00575,0.0878,1.32
PROD_0011,PROD_0048,Product 11 Essential,Product 48 Eco,0.00562,0.0843,1.31
PROD_0048,PROD_0011,Product 48 Eco,Product 11 Essential,0.00562,0.0876,1.31
PROD_0034,PROD_0001,Product 34 Vintage,Product 1 Luxury,0.0051,0.0838,1.31
PROD_0001,PROD_0034,Product 1 Luxury,Product 34 Vintage,0.0051,0.0795,1.31
PROD_0027,PROD_0047,Product 27 Essential,Product 47 Vintage,0.00536,0.083,1.31
PROD_0047,PROD_0027,Product 47 Vintage,Product 27 Essential,0.00536,0.0848,1.31
PROD_0029,PROD_0009,Product 29 Essential,Product 9 Luxury,0.00549,0.0863,1.31
PROD_0009,PROD_0029,Product 9 Luxury,Product 29 Essential,0.00549,0.0832,1.31
PROD_0012,PROD_0017,Product 12 Luxury,Product 17 Luxury,0.0051,0.0815,1.31
PROD_0017,PROD_0012,Product 17 Luxury,Product 12 Luxury,0.0051,0.0818,1.31
PROD_0034,PROD_0016,Product 34 Vintage,Product 16 Eco,0.00483,0.0793,1.31
PROD_0016,PROD_0034,Product 16 Eco,Product 34 Vintage,0.00483,0.08,1.31
PROD_0024,PROD_0039,Product 24 Modern,Product 39 Eco,0.0051,0.0817,1.31
PROD_0039,PROD_0024,Product 39 Eco,Product 24 Modern,0.0051,0.0817,1.31
PROD_0043,PROD_0006,Product 43 Vintage,Product 6 Luxury,0.00523,0.0853,1.3
PROD_0006,PROD_0043,Product 6 Luxury,Product 43 Vintage,0.00523,0.0796,1.3
PROD_0039,PROD_0019,Product 39 Eco,Product 19 Luxury,0.00523,0.0837,1.3
PROD_0019,PROD_0039,Product 19 Luxury,Product 39 Eco,0.00523,0.0814,1.3
PROD_0009,PROD_0006,Product 9 Luxury,Product 6 Luxury,0.00562,0.0852,1.3
PROD_0006,PROD_0009,Product 6 Luxury,Product 9 Luxury,0.00562,0.0855,1.3
PROD_0013,PROD_0006,Product 13 Eco,Product 6 Luxury,0.00536,0.0856,1.3
PROD_0006,PROD_0013,Product 6 Luxury,Product 13 Eco,0.00536,0.0816,1.3
PROD_0048,PROD_0001,Product 48 Eco,Product 1 Luxury,0.00536,0.0835,1.3
PROD_0001,PROD_0048,Product 1 Luxury,Product 48 Eco,0.00536,0.0835,1.3
PROD_0022,PROD_0019,Product 22 Luxury,Product 19 Luxury,0.00523,0.0827,1.29
PROD_0019,PROD_0022,Product 19 Luxury,Product 22 Luxury,0.00523,0.0814,1.29
PROD_0007,PROD_0019,Product 7 Eco,Product 19 Luxury,0.00549,0.0832,1.29
PROD_0019,PROD_0007,Product 19 Luxury,Product 7 Eco,0.00549,0.0854,1.29
PROD_0008,PROD_0002,Product 8 Eco,Product 2 Vintage,0.00536,0.086,1.29
PROD_0002,PROD_0008,Product 2 Vintage,Product 8 Eco,0.00536,0.0803,1.29
PROD_0033,PROD_0004,Product 33 Modern,Product 4 Modern,0.00536,0.0825,1.29
PROD_0004,PROD_0033,Product 4 Modern,Product 33 Modern,0.00536,0.0841,1.29
PROD_0012,PROD_0011,Product 12 Luxury,Product 11 Essential,0.00536,0.0856,1.29
PROD_0011,PROD_0012,Product 11 Essential,Product 12 Luxury,0.00536,0.0804,1.29
PROD_0015,PROD_0020,Product 15 Modern,Product 20 Essential,0.00536,0.0844,1.29
PROD_0020,PROD_0015,Product 20 Essential,Product 15 Modern,0.00536,0.0819,1.29
PROD_0014,PROD_0036,Product 14 Modern,Product 36 Vintage,0.0051,0.0803,1.28
PROD_0036,PROD_0014,Product 36 Vintage,Product 14 Modern,0.0051,0.0815,1.28
PROD_0008,PROD_0017,Product 8 Eco,Product 17 Luxury,0.00497,0.0797,1.28
PROD_0017,PROD_0008,Product 17 Luxury,Product 8 Eco,0.00497,0.0797,1.28
PROD_0025,PROD_0026,Product 25 Eco,Product 26 Luxury,0.00536,0.0841,1.28
PROD_0026,PROD_0025,Product 26 Luxury,Product 25 Eco,0.00536,0.0819,1.28
PROD_0046,PROD_0010,Product 46 Essential,Product 10 Essential,0.00483,0.08,1.28
PROD_0010,PROD_0046,Product 10 Essential,Product 46 Essential,0.00483,0.0773,1.28
PROD_0031,PROD_0035,Product 31 Vintage,Product 35 Luxury,0.0051,0.0836,1.28
PROD_0035,PROD_0031,Product 35 Luxury,Product 31 Vintage,0.0051,0.0784,1.28
PROD_0025,PROD_0005,Product 25 Eco,Product 5 Vintage,0.00483,0.0757,1.27
PROD_0005,PROD_0025,Product 5 Vintage,Product 25 Eco,0.00483,0.0812,1.27
PROD_0011,PROD_0049,Product 11 Essential,Product 49 Eco,0.00536,0.0804,1.27
PROD_0049,PROD_0011,Product 49 Eco,Product 11 Essential,0.00536,0.0848,1.27
PROD_0030,PROD_0050,Product 30 Modern,Product 50 Luxury,0.0051,0.0767,1.27
PROD_0030,PROD_0011,Product 30 Modern,Product 11 Essential,0.00562,0.0845,1.27
PROD_0050,PROD_0030,Product 50 Luxury,Product 30 Modern,0.0051,0.0843,1.27
PROD_0011,PROD_0030,Product 11 Essential,Product 30 Modern,0.00562,0.0843,1.27
PROD_0001,PROD_0006,Product 1 Luxury,Product 6 Luxury,0.00536,0.0835,1.27
PROD_0006,PROD_0001,Product 6 Luxury,Product 1 Luxury,0.00536,0.0816,1.27
PROD_0009,PROD_0048,Product 9 Luxury,Product 48 Eco,0.00536,0.0812,1.27
PROD_0048,PROD_0009,Product 48 Eco,Product 9 Luxury,0.00536,0.0835,1.27
PROD_0021,PROD_0008,Product 21 Vintage,Product 8 Eco,0.0047,0.0792,1.27
PROD_0008,PROD_0021,Product 8 Eco,Product 21 Vintage,0.0047,0.0754,1.27
PROD_0018,PROD_0045,Product 18 Essential,Product 45 Eco,0.00523,0.0801,1.26
PROD_0003,PROD_0049,Product 3 Luxury,Product 49 Eco,0.00483,0.0798,1.26
PROD_0045,PROD_0018,Product 45 Eco,Product 18 Essential,0.00523,0.0825,1.26
PROD_0049,PROD_0003,Product 49 Eco,Product 3 Luxury,0.00483,0.0764,1.26
PROD_0036,PROD_0022,Product 36 Vintage,Product 22 Luxury,0.00497,0.0794,1.26
PROD_0022,PROD_0036,Product 22 Luxury,Product 36 Vintage,0.00497,0.0786,1.26
PROD_0032,PROD_0035,Product 32 Eco,Product 35 Luxury,0.00549,0.0817,1.26
PROD_0035,PROD_0032,Product 35 Luxury,Product 32 Eco,0.00549,0.0844,1.26
PROD_0039,PROD_0047,Product 39 Eco,Product 47 Vintage,0.00497,0.0796,1.26
PROD_0047,PROD_0039,Product 47 Vintage,Product 39 Eco,0.00497,0.0786,1.26
PROD_0043,PROD_0007,Product 43 Vintage,Product 7 Eco,0.0051,0.0832,1.26
PROD_0007,PROD_0043,Product 7 Eco,Product 43 Vintage,0.0051,0.0773,1.26
PROD_0041,PROD_0046,Product 41 Eco,Product 46 Essential,0.0047,0.076,1.26
PROD_0046,PROD_0041,Product 46 Essential,Product 41 Eco,0.0047,0.0779,1.26
PROD_0046,PROD_0045,Product 46 Essential,Product 45 Eco,0.00483,0.08,1.26
PROD_0045,PROD_0046,Product 45 Eco,Product 46 Essential,0.00483,0.0762,1.26
PROD_0027,PROD_0019,Product 27 Essential,Product 19 Luxury,0.00523,0.081,1.26
PROD_0019,PROD_0027,Product 19 Luxury,Product 27 Essential,0.00523,0.0814,1.26
PROD_0004,PROD_0028,Product 4 Modern,Product 28 Vintage,0.00523,0.082,1.26
PROD_0028,PROD_0004,Product 28 Vintage,Product 4 Modern,0.00523,0.0801,1.26
PROD_0038,PROD_0022,Product 38 Modern,Product 22 Luxury,0.0051,0.0788,1.25
PROD_0022,PROD_0038,Product 22 Luxury,Product 38 Modern,0.0051,0.0806,1.25
PROD_0037,PROD_0042,Product 37 Modern,Product 42 Essential,0.00483,0.0797,1.25
PROD_0042,PROD_0037,Product 42 Essential,Product 37 Modern,0.00483,0.0759,1.25
PROD_0001,PROD_0026,Product 1 Luxury,Product 26 Luxury,0.00523,0.0815,1.25
PROD_0026,PROD_0001,Product 26 Luxury,Product 1 Luxury,0.00523,0.0799,1.25
PROD_0030,PROD_0038,Product 30 Modern,Product 38 Modern,0.00536,0.0806,1.25
PROD_0038,PROD_0030,Product 38 Modern,Product 30 Modern,0.00536,0.0829,1.25
PROD_0035,PROD_0010,Product 35 Luxury,Product 10 Essential,0.0051,0.0784,1.25
PROD_0010,PROD_0035,Product 10 Essential,Product 35 Luxury,0.0051,0.0817,1.25
PROD_0033,PROD_0007,Product 33 Modern,Product 7 Eco,0.00536,0.0825,1.25
PROD_0007,PROD_0033,Product 7 Eco,Product 33 Modern,0.00536,0.0812,1.25
PROD_0041,PROD_0027,Product 41 Eco,Product 27 Essential,0.00497,0.0804,1.25
PROD_0027,PROD_0041,Product 27 Essential,Product 41 Eco,0.00497,0.077,1.25
PROD_0037,PROD_0019,Product 37 Modern,Product 19 Luxury,0.00483,0.0797,1.24
PROD_0019,PROD_0037,Product 19 Luxury,Product 37 Modern,0.00483,0.0751,1.24
PROD_0013,PROD_0020,Product 13 Eco,Product 20 Essential,0.0051,0.0815,1.24
PROD_0020,PROD_0013,Product 20 Essential,Product 13 Eco,0.0051,0.0779,1.24
PROD_0024,PROD_0017,Product 24 Modern,Product 17 Luxury,0.00483,0.0773,1.24
PROD_0017,PROD_0024,Product 17 Luxury,Product 24 Modern,0.00483,0.0775,1.24
PROD_0034,PROD_0017,Product 34 Vintage,Product 17 Luxury,0.0047,0.0772,1.24
PROD_0017,PROD_0034,Product 17 Luxury,Product 34 Vintage,0.0047,0.0754,1.24
PROD_0021,PROD_0017,Product 21 Vintage,Product 17 Luxury,0.00457,0.077,1.24
PROD_0017,PROD_0021,Product 17 Luxury,Product 21 Vintage,0.00457,0.0733,1.24
PROD_0041,PROD_0035,Product 41 Eco,Product 35 Luxury,0.00497,0.0804,1.24
PROD_0035,PROD_0041,Product 35 Luxury,Product 41 Eco,0.00497,0.0764,1.24
PROD_0025,PROD_0030,Product 25 Eco,Product 30 Modern,0.00523,0.082,1.23
PROD_0030,PROD_0025,Product 30 Modern,Product 25 Eco,0.00523,0.0786,1.23
PROD_0040,PROD_0049,Product 40 Luxury,Product 49 Eco,0.0047,0.0777,1.23
PROD_0049,PROD_0040,Product 49 Eco,Product 40 Luxury,0.0047,0.0743,1.23
PROD_0050,PROD_0033,Product 50 Luxury,Product 33 Modern,0.00483,0.0798,1.23
PROD_0033,PROD_0050,Product 33 Modern,Product 50 Luxury,0.00483,0.0744,1.23
PROD_0028,PROD_0023,Product 28 Vintage,Product 23 Eco,0.00497,0.0761,1.23
PROD_0023,PROD_0028,Product 23 Eco,Product 28 Vintage,0.00497,0.0801,1.23
PROD_0046,PROD_0049,Product 46 Essential,Product 49 Eco,0.0047,0.0779,1.23
PROD_0049,PROD_0046,Product 49 Eco,Product 46 Essential,0.0047,0.0743,1.23
PROD_0050,PROD_0049,Product 50 Luxury,Product 49 Eco,0.0047,0.0777,1.23
PROD_0049,PROD_0050,Product 49 Eco,Product 50 Luxury,0.0047,0.0743,1.23
PROD_0019,PROD_0038,Product 19 Luxury,Product 38 Modern,0.0051,0.0793,1.23
PROD_0038,PROD_0019,Product 38 Modern,Product 19 Luxury,0.0051,0.0788,1.23
PROD_0046,PROD_0047,Product 46 Essential,Product 47 Vintage,0.0047,0.0779,1.23
PROD_0047,PROD_0046,Product 47 Vintage,Product 46 Essential,0.0047,0.0743,1.23
PROD_0016,PROD_0014,Product 16 Eco,Product 14 Modern,0.0047,0.0779,1.23
PROD_0014,PROD_0016,Product 14 Modern,Product 16 Eco,0.0047,0.074,1.23
PROD_0018,PROD_0029,Product 18 Essential,Product 29 Essential,0.0051,0.0781,1.23
PROD_0029,PROD_0018,Product 29 Essential,Product 18 Essential,0.0051,0.0801,1.23
PROD_0027,PROD_0039,Product 27 Essential,Product 39 Eco,0.00497,0.077,1.23
PROD_0039,PROD_0027,Product 39 Eco,Product 27 Essential,0.00497,0.0796,1.23
PROD_0045,PROD_0029,Product 45 Eco,Product 29 Essential,0.00497,0.0784,1.23
PROD_0029,PROD_0045,Product 29 Essential,Product 45 Eco,0.00497,0.0781,1.23
PROD_0033,PROD_0020,Product 33 Modern,Product 20 Essential,0.00523,0.0805,1.23
PROD_0020,PROD_0033,Product 20 Essential,Product 33 Modern,0.00523,0.0799,1.23
PROD_0041,PROD_0008,Product 41 Eco,Product 8 Eco,0.0047,0.076,1.22
PROD_0041,PROD_0044,Product 41 Eco,Product 44 Essential,0.00497,0.0804,1.22
PROD_0008,PROD_0041,Product 8 Eco,Product 41 Eco,0.0047,0.0754,1.22
PROD_0044,PROD_0041,Product 44 Essential,Product 41 Eco,0.00497,0.0755,1.22
PROD_0007,PROD_0049,Product 7 Eco,Product 49 Eco,0.0051,0.0773,1.22
PROD_0049,PROD_0007,Product 49 Eco,Product 7 Eco,0.0051,0.0806,1.22
PROD_0020,PROD_0010,Product 20 Essential,Product 10 Essential,0.00497,0.0759,1.22
PROD_0010,PROD_0020,Product 10 Essential,Product 20 Essential,0.00497,0.0796,1.22
PROD_0004,PROD_0006,Product 4 Modern,Product 6 Luxury,0.0051,0.08,1.22
PROD_0006,PROD_0004,Product 6 Luxury,Product 4 Modern,0.0051,0.0776,1.22
PROD_0031,PROD_0049,Product 31 Vintage,Product 49 Eco,0.0047,0.077,1.22
PROD_0049,PROD_0031,Product 49 Eco,Product 31 Vintage,0.0047,0.0743,1.22
PROD_0004,PROD_0026,Product 4 Modern,Product 26 Luxury,0.0051,0.08,1.22
PROD_0026,PROD_0004,Product 26 Luxury,Product 4 Modern,0.0051,0.0779,1.22
PROD_0001,PROD_0042,Product 1 Luxury,Product 42 Essential,0.00497,0.0775,1.22
PROD_0042,PROD_0001,Product 42 Essential,Product 1 Luxury,0.00497,0.0781,1.22
PROD_0014,PROD_0007,Product 14 Modern,Product 7 Eco,0.0051,0.0803,1.22
PROD_0007,PROD_0014,Product 7 Eco,Product 14 Modern,0.0051,0.0773,1.22
PROD_0041,PROD_0050,Product 41 Eco,Product 50 Luxury,0.00457,0.0739,1.22
PROD_0012,PROD_0049,Product 12 Luxury,Product 49 Eco,0.00483,0.0772,1.22
PROD_0050,PROD_0041,Product 50 Luxury,Product 41 Eco,0.00457,0.0755,1.22
PROD_0049,PROD_0012,Product 49 Eco,Product 12 Luxury,0.00483,0.0764,1.22
PROD_0013,PROD_0033,Product 13 Eco,Product 33 Modern,0.00497,0.0794,1.22
PROD_0033,PROD_0013,Product 33 Modern,Product 13 Eco,0.00497,0.0765,1.22
PROD_0019,PROD_0049,Product 19 Luxury,Product 49 Eco,0.00497,0.0773,1.22
PROD_0049,PROD_0019,Product 49 Eco,Product 19 Luxury,0.00497,0.0786,1.22
PROD_0034,PROD_0015,Product 34 Vintage,Product 15 Modern,0.0047,0.0772,1.22
PROD_0015,PROD_0034,Product 15 Modern,Product 34 Vintage,0.0047,0.074,1.22
PROD_0032,PROD_0006,Product 32 Eco,Product 6 Luxury,0.00536,0.0798,1.21
PROD_0006,PROD_0032,Product 6 Luxury,Product 32 Eco,0.00536,0.0816,1.21
PROD_0048,PROD_0024,Product 48 Eco,Product 24 Modern,0.00483,0.0753,1.21
PROD_0024,PROD_0048,Product 24 Modern,Product 48 Eco,0.00483,0.0773,1.21
PROD_0016,PROD_0044,Product 16 Eco,Product 44 Essential,0.00483,0.08,1.21
PROD_0044,PROD_0016,Product 44 Essential,Product 16 Eco,0.00483,0.0733,1.21
PROD_0025,PROD_0019,Product 25 Eco,Product 19 Luxury,0.00497,0.0779,1.21
PROD_0019,PROD_0025,Product 19 Luxury,Product 25 Eco,0.00497,0.0773,1.21
PROD_0013,PROD_0046,Product 13 Eco,Product 46 Essential,0.00457,0.073,1.21
PROD_0046,PROD_0013,Product 46 Essential,Product 13 Eco,0.00457,0.0757,1.21
PROD_0048,PROD_0006,Product 48 Eco,Product 6 Luxury,0.0051,0.0795,1.21
PROD_0006,PROD_0048,Product 6 Luxury,Product 48 Eco,0.0051,0.0776,1.21
PROD_0007,PROD_0004,Product 7 Eco,Product 4 Modern,0.0051,0.0773,1.21
PROD_0004,PROD_0007,Product 4 Modern,Product 7 Eco,0.0051,0.08,1.21
PROD_0006,PROD_0030,Product 6 Luxury,Product 30 Modern,0.00523,0.0796,1.2
PROD_0030,PROD_0006,Product 30 Modern,Product 6 Luxury,0.00523,0.0786,1.2
PROD_0037,PROD_0011,Product 37 Modern,Product 11 Essential,0.00483,0.0797,1.2
PROD_0011,PROD_0037,Product 11 Essential,Product 37 Modern,0.00483,0.0725,1.2
PROD_0016,PROD_0038,Product 16 Eco,Product 38 Modern,0.0047,0.0779,1.2
PROD_0038,PROD_0016,Product 38 Modern,Product 16 Eco,0.0047,0.0727,1.2
PROD_0013,PROD_0039,Product 13 Eco,Product 39 Eco,0.0047,0.0751,1.2
PROD_0039,PROD_0013,Product 39 Eco,Product 13 Eco,0.0047,0.0752,1.2
PROD_0030,PROD_0017,Product 30 Modern,Product 17 Luxury,0.00497,0.0747,1.2
PROD_0017,PROD_0030,Product 17 Luxury,Product 30 Modern,0.00497,0.0797,1.2
PROD_0018,PROD_0035,Product 18 Essential,Product 35 Luxury,0.0051,0.0781,1.2
PROD_0035,PROD_0018,Product 35 Luxury,Product 18 Essential,0.0051,0.0784,1.2
PROD_0002,PROD_0020,Product 2 Vintage,Product 20 Essential,0.00523,0.0783,1.2
PROD_0020,PROD_0002,Product 20 Essential,Product 2 Vintage,0.00523,0.0799,1.2
PROD_0034,PROD_0044,Product 34 Vintage,Product 44 Essential,0.00483,0.0793,1.2
PROD_0044,PROD_0034,Product 44 Essential,Product 34 Vintage,0.00483,0.0733,1.2
PROD_0024,PROD_0019,Product 24 Modern,Product 19 Luxury,0.00483,0.0773,1.2
PROD_0019,PROD_0024,Product 19 Luxury,Product 24 Modern,0.00483,0.0751,1.2
PROD_0039,PROD_0034,Product 39 Eco,Product 34 Vintage,0.00457,0.0732,1.2
PROD_0034,PROD_0039,Product 34 Vintage,Product 39 Eco,0.00457,0.0751,1.2
PROD_0025,PROD_0006,Product 25 Eco,Product 6 Luxury,0.00497,0.0779,1.19
PROD_0006,PROD_0025,Product 6 Luxury,Product 25 Eco,0.00497,0.0756,1.19
PROD_0014,PROD_0006,Product 14 Modern,Product 6 Luxury,0.00497,0.0783,1.19
PROD_0006,PROD_0014,Product 6 Luxury,Product 14 Modern,0.00497,0.0756,1.19
PROD_0047,PROD_0017,Product 47 Vintage,Product 17 Luxury,0.0047,0.0743,1.19
PROD_0017,PROD_0047,Product 17 Luxury,Product 47 Vintage,0.0047,0.0754,1.19
PROD_0013,PROD_0022,Product 13 Eco,Product 22 Luxury,0.0047,0.0751,1.19
PROD_0022,PROD_0013,Product 22 Luxury,Product 13 Eco,0.0047,0.0743,1.19
PROD_0032,PROD_0028,Product 32 Eco,Product 28 Vintage,0.00523,0.0779,1.19
PROD_0028,PROD_0032,Product 28 Vintage,Product 32 Eco,0.00523,0.0801,1.19
PROD_0013,PROD_0047,Product 13 Eco,Product 47 Vintage,0.0047,0.0751,1.19
PROD_0047,PROD_0013,Product 47 Vintage,Product 13 Eco,0.0047,0.0743,1.19
PROD_0037,PROD_0002,Product 37 Modern,Product 2 Vintage,0.00483,0.0797,1.19
PROD_0002,PROD_0037,Product 2 Vintage,Product 37 Modern,0.00483,0.0723,1.19
PROD_0015,PROD_0009,Product 15 Modern,Product 9 Luxury,0.00497,0.0783,1.19
PROD_0009,PROD_0015,Product 9 Luxury,Product 15 Modern,0.00497,0.0753,1.19
PROD_0043,PROD_0034,Product 43 Vintage,Product 34 Vintage,0.00444,0.0725,1.19
PROD_0034,PROD_0043,Product 34 Vintage,Product 43 Vintage,0.00444,0.0729,1.19
PROD_0014,PROD_0017,Product 14 Modern,Product 17 Luxury,0.0047,0.074,1.19
PROD_0017,PROD_0014,Product 17 Luxury,Product 14 Modern,0.0047,0.0754,1.19
PROD_0032,PROD_0025,Product 32 Eco,Product 25 Eco,0.0051,0.0759,1.19
PROD_0025,PROD_0032,Product 25 Eco,Product 32 Eco,0.0051,0.08,1.19
PROD_0016,PROD_0045,Product 16 Eco,Product 45 Eco,0.00457,0.0757,1.19
PROD_0045,PROD_0016,Product 45 Eco,Product 16 Eco,0.00457,0.0721,1.19
PROD_0023,PROD_0006,Product 23 Eco,Product 6 Luxury,0.00483,0.0778,1.18
PROD_0006,PROD_0023,Product 6 Luxury,Product 23 Eco,0.00483,0.0735,1.18
PROD_0034,PROD_0045,Product 34 Vintage,Product 45 Eco,0.00457,0.0751,1.18
PROD_0045,PROD_0034,Product 45 Eco,Product 34 Vintage,0.00457,0.0721,1.18
PROD_0039,PROD_0026,Product 39 Eco,Product 26 Luxury,0.00483,0.0773,1.18
PROD_0026,PROD_0039,Product 26 Luxury,Product 39 Eco,0.00483,0.0738,1.18
PROD_0003,PROD_0009,Product 3 Luxury,Product 9 Luxury,0.0047,0.0777,1.18
PROD_0009,PROD_0003,Product 9 Luxury,Product 3 Luxury,0.0047,0.0712,1.18
PROD_0042,PROD_0008,Product 42 Essential,Product 8 Eco,0.0047,0.0739,1.18
PROD_0031,PROD_0022,Product 31 Vintage,Product 22 Luxury,0.00457,0.0749,1.18
PROD_0008,PROD_0042,Product 8 Eco,Product 42 Essential,0.0047,0.0754,1.18
PROD_0022,PROD_0031,Product 22 Luxury,Product 31 Vintage,0.00457,0.0723,1.18
PROD_0016,PROD_0024,Product 16 Eco,Product 24 Modern,0.00444,0.0735,1.18
PROD_0003,PROD_0025,Product 3 Luxury,Product 25 Eco,0.00457,0.0755,1.18
PROD_0025,PROD_0003,Product 25 Eco,Product 3 Luxury,0.00457,0.0717,1.18
PROD_0025,PROD_0024,Product 25 Eco,Product 24 Modern,0.0047,0.0737,1.18
PROD_0024,PROD_0016,Product 24 Modern,Product 16 Eco,0.00444,0.0711,1.18
PROD_0024,PROD_0025,Product 24 Modern,Product 25 Eco,0.0047,0.0752,1.18
PROD_0038,PROD_0045,Product 38 Modern,Product 45 Eco,0.00483,0.0747,1.18
PROD_0045,PROD_0038,Product 45 Eco,Product 38 Modern,0.00483,0.0762,1.18
PROD_0021,PROD_0015,Product 21 Vintage,Product 15 Modern,0.00444,0.0748,1.18
PROD_0015,PROD_0021,Product 15 Modern,Product 21 Vintage,0.00444,0.0699,1.18
PROD_0030,PROD_0035,Product 30 Modern,Product 35 Luxury,0.0051,0.0767,1.18
PROD_0035,PROD_0030,Product 35 Luxury,Product 30 Modern,0.0051,0.0784,1.18
PROD_0021,PROD_0035,Product 21 Vintage,Product 35 Luxury,0.00457,0.077,1.18
PROD_0035,PROD_0021,Product 35 Luxury,Product 21 Vintage,0.00457,0.0702,1.18
PROD_0027,PROD_0035,Product 27 Essential,Product 35 Luxury,0.00497,0.077,1.18
PROD_0035,PROD_0027,Product 35 Luxury,Product 27 Essential,0.00497,0.0764,1.18
PROD_0036,PROD_0019,Product 36 Vintage,Product 19 Luxury,0.0047,0.0751,1.17
PROD_0019,PROD_0036,Product 19 Luxury,Product 36 Vintage,0.0047,0.0731,1.17
PROD_0005,PROD_0006,Product 5 Vintage,Product 6 Luxury,0.00457,0.0769,1.17
PROD_0006,PROD_0005,Product 6 Luxury,Product 5 Vintage,0.00457,0.0695,1.17
PROD_0039,PROD_0040,Product 39 Eco,Product 40 Luxury,0.00444,0.0711,1.17
PROD_0040,PROD_0039,Product 40 Luxury,Product 39 Eco,0.00444,0.0734,1.17
