customer_id,total_monetary_spend,transaction_frequency,total_items_purchased,first_purchase,last_purchase,views,carts,purchases,searches,total_sessions,cart_to_view_ratio,avg_order_value,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,customer_segment,cluster_id
CUST_01241,3198.17,5,36,2024-02-27 14:50:48,2024-11-16 11:43:09,14,1,0,3,4,0.0714,639.63,45.5,5,3198.17,4,5,4,454,13,Champions,Cluster_4
CUST_00083,794.91,2,6,2024-03-17 05:21:56,2024-10-24 18:22:20,37,9,4,6,9,0.2432,397.45,68.2,2,794.91,3,2,1,321,6,Potential Loyalists,Cluster_3
CUST_01521,3552.59,5,30,2024-07-20 16:58:13,2024-10-09 00:39:41,6,2,1,2,2,0.3333,710.52,84.0,5,3552.59,3,5,4,354,12,Loyal Customers,Cluster_4
CUST_00276,3608.98,5,27,2024-03-16 20:02:04,2024-08-23 15:13:53,26,6,1,2,5,0.2308,721.8,130.4,5,3608.98,2,5,4,254,11,Loyal Customers,Cluster_4
CUST_02418,1018.81,4,13,2024-04-09 09:31:12,2024-06-11 05:36:23,35,9,2,6,9,0.2571,254.7,203.8,4,1018.81,1,4,1,141,6,At Risk,Cluster_3
CUST_02015,1787.04,6,17,2024-01-01 14:42:48,2024-12-26 15:03:05,25,6,1,3,6,0.24,297.84,5.4,6,1787.04,5,5,3,553,13,Loyal Customers,Cluster_1
CUST_02355,1321.45,4,14,2024-01-02 19:21:16,2024-11-18 02:52:32,5,6,1,2,2,1.2,330.36,43.9,4,1321.45,4,4,2,442,10,Potential Loyalists,Cluster_3
CUST_00818,2404.26,4,29,2024-02-05 07:34:46,2024-11-07 04:16:38,16,4,0,2,4,0.25,601.07,54.8,4,2404.26,4,4,3,443,11,Loyal Customers,Cluster_4
CUST_01954,1402.53,4,18,2024-01-17 12:21:37,2024-11-21 05:28:49,11,6,1,0,4,0.5455,350.63,40.8,4,1402.53,4,4,2,442,10,Potential Loyalists,Cluster_3
CUST_00889,2715.59,3,18,2024-07-05 04:16:40,2024-08-20 18:40:22,28,8,3,0,7,0.2857,905.2,133.2,3,2715.59,2,4,4,244,10,Loyal Customers,Cluster_3
CUST_00447,3024.79,5,26,2024-02-03 07:55:26,2024-09-06 15:30:11,23,7,2,5,5,0.3043,604.96,116.4,5,3024.79,2,5,4,254,11,Loyal Customers,Cluster_4
CUST_01528,1891.85,3,14,2024-02-16 08:53:50,2024-07-07 18:50:29,5,3,0,1,3,0.6,630.62,177.2,3,1891.85,1,4,3,143,8,Loyal Customers,Cluster_3
CUST_00785,1883.64,4,20,2024-04-19 11:05:44,2024-12-02 22:42:35,16,5,4,5,6,0.3125,470.91,29.1,4,1883.64,4,4,3,443,11,Loyal Customers,Cluster_1
CUST_02184,3619.03,2,25,2024-09-12 17:32:05,2024-10-06 09:40:17,36,6,7,6,10,0.1667,1809.52,86.6,2,3619.03,3,2,4,324,9,Potential Loyalists,Cluster_3
CUST_01307,3647.16,5,31,2024-01-27 02:06:36,2024-11-02 19:29:02,19,7,1,4,7,0.3684,729.43,59.2,5,3647.16,3,5,4,354,12,Loyal Customers,Cluster_4
CUST_01182,1456.55,2,14,2024-10-11 16:26:55,2024-12-30 18:01:26,21,8,1,6,6,0.381,728.27,1.2,2,1456.55,5,2,2,522,9,New Customers,Cluster_1
CUST_00115,2359.99,5,20,2024-01-13 16:30:07,2024-12-20 18:01:13,6,2,0,1,2,0.3333,472.0,11.2,5,2359.99,5,5,3,553,13,Loyal Customers,Cluster_1
CUST_02480,3492.43,5,40,2024-05-07 00:40:44,2024-11-23 01:47:28,9,3,0,1,3,0.3333,698.49,38.9,5,3492.43,4,5,4,454,13,Champions,Cluster_4
CUST_01879,2287.85,3,21,2024-01-16 04:17:38,2024-12-28 15:49:39,18,5,0,4,5,0.2778,762.62,3.3,3,2287.85,5,4,3,543,12,Loyal Customers,Cluster_1
CUST_02012,2300.3,2,25,2024-03-18 17:47:50,2024-08-11 15:35:02,9,2,1,2,3,0.2222,1150.15,142.4,2,2300.3,2,2,3,223,7,Potential Loyalists,Cluster_3
CUST_02152,2407.73,2,23,2024-07-06 05:03:17,2024-12-27 22:57:49,27,3,1,3,7,0.1111,1203.87,4.0,2,2407.73,5,2,3,523,10,New Customers,Cluster_1
CUST_01649,4346.89,5,34,2024-02-08 22:14:48,2024-07-04 19:43:22,30,11,1,5,7,0.3667,869.38,180.2,5,4346.89,1,5,5,155,11,Loyal Customers,Cluster_4
CUST_01103,724.93,3,18,2024-05-22 08:54:38,2024-10-14 19:29:59,8,0,0,1,4,0.0,241.64,78.2,3,724.93,3,4,1,341,8,Potential Loyalists,Cluster_3
CUST_00649,3800.71,7,28,2024-02-19 06:33:07,2024-11-18 05:58:09,18,5,0,3,4,0.2778,542.96,43.8,7,3800.71,4,5,5,455,14,Champions,Cluster_4
CUST_01670,4590.67,6,35,2024-01-19 01:24:22,2024-12-15 13:48:13,28,5,3,5,6,0.1786,765.11,16.4,6,4590.67,5,5,5,555,15,Champions,Cluster_1
CUST_00290,2045.22,3,18,2024-01-14 19:05:09,2024-07-31 11:51:56,27,6,3,6,8,0.2222,681.74,153.5,3,2045.22,2,4,3,243,9,Loyal Customers,Cluster_3
CUST_00265,3287.34,3,24,2024-01-24 22:20:09,2024-11-06 14:32:13,2,1,1,0,1,0.5,1095.78,55.4,3,3287.34,4,4,4,444,12,Champions,Cluster_4
CUST_01920,3607.1,3,33,2024-04-05 10:04:32,2024-08-18 20:43:01,17,6,0,1,6,0.3529,1202.37,135.1,3,3607.1,2,4,4,244,10,Loyal Customers,Cluster_4
CUST_01910,1374.19,1,8,2024-10-26 07:51:43,2024-10-26 07:51:43,22,6,1,3,6,0.2727,1374.19,66.7,1,1374.19,3,1,2,312,6,Potential Loyalists,Cluster_3
CUST_02002,2422.05,5,31,2024-01-25 19:53:10,2024-10-08 00:02:55,40,7,3,3,7,0.175,484.41,85.0,5,2422.05,3,5,3,353,11,Loyal Customers,Cluster_4
CUST_01262,4576.43,4,36,2024-01-03 11:50:29,2024-09-02 06:05:12,15,2,0,3,6,0.1333,1144.11,120.7,4,4576.43,2,4,5,245,11,Loyal Customers,Cluster_4
CUST_00448,3510.69,3,25,2024-08-27 02:31:33,2024-12-03 05:43:13,18,7,4,4,9,0.3889,1170.23,28.8,3,3510.69,4,4,4,444,12,Champions,Cluster_1
CUST_02185,2364.61,5,22,2024-02-11 11:36:51,2024-11-23 23:16:15,29,11,3,6,8,0.3793,472.92,38.0,5,2364.61,4,5,3,453,12,Loyal Customers,Cluster_4
CUST_00380,1850.15,2,16,2024-01-23 21:46:31,2024-04-10 07:46:34,19,9,3,6,8,0.4737,925.08,265.7,2,1850.15,1,2,3,123,6,Potential Loyalists,Cluster_3
CUST_00588,588.49,1,6,2024-07-31 11:33:33,2024-07-31 11:33:33,7,2,1,2,3,0.2857,588.49,153.5,1,588.49,2,1,1,211,4,Lost,Cluster_2
CUST_01806,2389.07,3,23,2024-02-29 20:11:13,2024-08-31 10:32:52,18,9,3,3,5,0.5,796.36,122.6,3,2389.07,2,4,3,243,9,Loyal Customers,Cluster_3
CUST_00198,507.58,1,4,2024-09-24 20:56:01,2024-09-24 20:56:01,7,1,0,1,5,0.1429,507.58,98.1,1,507.58,3,1,1,311,5,Potential Loyalists,Cluster_2
CUST_01387,2563.38,2,20,2024-10-14 07:07:58,2024-11-27 03:55:42,30,3,3,7,7,0.1,1281.69,34.8,2,2563.38,4,2,3,423,9,New Customers,Cluster_3
CUST_00559,5678.18,4,49,2024-01-12 07:37:18,2024-07-05 06:43:02,14,5,0,3,4,0.3571,1419.55,179.7,4,5678.18,1,4,5,145,10,Loyal Customers,Cluster_4
CUST_00441,1060.02,2,9,2024-06-16 08:32:16,2024-08-23 20:24:20,21,3,1,3,5,0.1429,530.01,130.1,2,1060.02,2,2,2,222,6,Lost,Cluster_3
CUST_01726,626.93,1,5,2024-02-16 07:34:28,2024-02-16 07:34:28,21,5,1,5,7,0.2381,626.93,319.7,1,626.93,1,1,1,111,3,Lost,Cluster_2
CUST_01306,1462.75,2,17,2024-11-30 01:30:50,2024-11-30 13:34:03,14,4,2,6,5,0.2857,731.38,31.4,2,1462.75,4,2,2,422,8,New Customers,Cluster_3
CUST_00325,1883.11,3,17,2024-01-08 09:07:44,2024-11-21 00:02:17,15,2,1,5,5,0.1333,627.7,41.0,3,1883.11,4,4,3,443,11,Loyal Customers,Cluster_3
CUST_02050,4591.33,4,37,2024-02-16 12:45:55,2024-12-28 07:35:19,19,10,1,3,5,0.5263,1147.83,3.7,4,4591.33,5,4,5,545,14,Champions,Cluster_1
CUST_00632,5051.56,8,59,2024-02-16 20:05:31,2024-12-28 23:36:49,32,9,1,5,7,0.2812,631.45,3.0,8,5051.56,5,5,5,555,15,Champions,Cluster_1
CUST_01402,3877.41,4,32,2024-03-07 21:05:13,2024-06-15 20:46:06,22,5,3,1,4,0.2273,969.35,199.1,4,3877.41,1,4,5,145,10,Loyal Customers,Cluster_4
CUST_00865,370.44,1,5,2024-04-12 18:40:50,2024-04-12 18:40:50,13,7,2,0,5,0.5385,370.44,263.2,1,370.44,1,1,1,111,3,Lost,Cluster_2
CUST_01590,1560.19,2,16,2024-03-12 15:27:45,2024-10-07 02:58:31,44,11,2,10,12,0.25,780.1,85.9,2,1560.19,3,2,2,322,7,Potential Loyalists,Cluster_3
CUST_00560,1984.85,4,24,2024-04-22 11:13:25,2024-12-01 13:18:53,29,19,2,3,9,0.6552,496.21,30.4,4,1984.85,4,4,3,443,11,Loyal Customers,Cluster_1
CUST_02451,2587.59,4,25,2024-05-03 15:08:18,2024-10-02 13:38:02,4,3,0,0,2,0.75,646.9,90.4,4,2587.59,3,4,4,344,11,Loyal Customers,Cluster_4
CUST_00021,3200.28,5,29,2024-06-07 03:13:07,2024-12-28 18:32:22,24,3,1,2,5,0.125,640.06,3.2,5,3200.28,5,5,4,554,14,Champions,Cluster_1
CUST_00741,4332.17,3,39,2024-01-17 06:04:50,2024-11-20 04:21:38,36,15,6,10,12,0.4167,1444.06,41.8,3,4332.17,4,4,5,445,13,Champions,Cluster_4
CUST_00437,1688.37,4,14,2024-01-10 19:33:12,2024-11-16 00:52:47,15,5,3,1,4,0.3333,422.09,46.0,4,1688.37,4,4,2,442,10,Potential Loyalists,Cluster_4
CUST_00924,4054.46,6,45,2024-02-28 22:01:21,2024-11-17 13:17:32,10,8,0,0,4,0.8,675.74,44.4,6,4054.46,4,5,5,455,14,Champions,Cluster_4
CUST_00506,3208.07,3,24,2024-02-07 15:55:02,2024-09-17 21:09:20,17,3,1,2,5,0.1765,1069.36,105.1,3,3208.07,2,4,4,244,10,Loyal Customers,Cluster_4
CUST_00563,5218.24,6,44,2024-03-18 18:53:58,2024-12-06 20:10:30,19,10,2,4,6,0.5263,869.71,25.2,6,5218.24,5,5,5,555,15,Champions,Cluster_1
CUST_01964,5170.07,5,38,2024-01-27 07:31:42,2024-11-02 07:29:46,22,10,1,3,7,0.4545,1034.01,59.7,5,5170.07,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_02042,1559.6,2,11,2024-06-22 14:58:36,2024-08-30 21:13:55,8,4,0,2,3,0.5,779.8,123.1,2,1559.6,2,2,2,222,6,Lost,Cluster_3
CUST_00136,3493.25,3,27,2024-01-09 22:52:30,2024-10-24 06:47:08,8,2,0,3,3,0.25,1164.42,68.7,3,3493.25,3,4,4,344,11,Loyal Customers,Cluster_4
CUST_00705,175.88,1,1,2024-11-24 01:21:34,2024-11-24 01:21:34,18,8,3,4,7,0.4444,175.88,37.9,1,175.88,4,1,1,411,6,New Customers,Cluster_2
CUST_01704,4847.37,4,38,2024-01-28 17:25:57,2024-11-30 01:12:17,36,11,3,9,8,0.3056,1211.84,31.9,4,4847.37,4,4,5,445,13,Champions,Cluster_4
CUST_02357,5622.37,6,44,2024-01-07 19:31:55,2024-08-16 00:22:56,8,6,1,4,5,0.75,937.06,138.0,6,5622.37,2,5,5,255,12,Loyal Customers,Cluster_4
CUST_00816,5898.15,6,39,2024-01-27 23:42:12,2024-12-15 12:20:00,21,1,1,4,5,0.0476,983.02,16.5,6,5898.15,5,5,5,555,15,Champions,Cluster_1
CUST_01024,2137.22,3,20,2024-02-06 18:54:12,2024-11-19 00:15:07,12,4,1,3,4,0.3333,712.41,43.0,3,2137.22,4,4,3,443,11,Loyal Customers,Cluster_3
CUST_01682,596.53,1,9,2024-03-25 19:19:17,2024-03-25 19:19:17,17,6,2,2,8,0.3529,596.53,281.2,1,596.53,1,1,1,111,3,Lost,Cluster_2
CUST_00769,4071.98,4,30,2024-06-12 04:19:30,2024-07-24 04:18:41,17,2,2,0,4,0.1176,1018.0,160.8,4,4071.98,2,4,5,245,11,Loyal Customers,Cluster_4
CUST_00415,6199.13,8,50,2024-01-09 03:40:33,2024-12-21 00:41:39,13,8,0,4,3,0.6154,774.89,11.0,8,6199.13,5,5,5,555,15,Champions,Cluster_1
CUST_00329,805.9,1,12,2024-11-15 16:45:33,2024-11-15 16:45:33,16,6,1,4,5,0.375,805.9,46.3,1,805.9,4,1,1,411,6,New Customers,Cluster_2
CUST_00204,1696.04,4,17,2024-01-25 14:38:41,2024-09-18 17:50:37,5,3,0,3,2,0.6,424.01,104.3,4,1696.04,2,4,2,242,8,At Risk,Cluster_4
CUST_01279,3125.18,4,26,2024-02-20 01:43:19,2024-12-29 14:09:30,13,2,2,3,5,0.1538,781.29,2.4,4,3125.18,5,4,4,544,13,Champions,Cluster_1
CUST_01777,4890.82,5,43,2024-04-25 20:56:52,2024-12-28 23:26:17,4,2,0,2,3,0.5,978.16,3.0,5,4890.82,5,5,5,555,15,Champions,Cluster_1
CUST_02108,318.9,1,2,2024-12-15 14:03:19,2024-12-15 14:03:19,20,4,3,3,6,0.2,318.9,16.4,1,318.9,5,1,1,511,7,New Customers,Cluster_2
CUST_00178,1121.21,4,15,2024-06-13 01:54:36,2024-10-09 10:23:45,9,0,2,2,3,0.0,280.3,83.6,4,1121.21,3,4,2,342,9,Potential Loyalists,Cluster_3
CUST_01617,2765.93,5,25,2024-01-08 18:10:56,2024-11-13 19:49:50,9,4,0,1,3,0.4444,553.19,48.2,5,2765.93,4,5,4,454,13,Champions,Cluster_4
CUST_01672,5461.04,4,35,2024-08-08 16:53:36,2024-12-30 16:36:32,15,4,0,1,4,0.2667,1365.26,1.3,4,5461.04,5,4,5,545,14,Champions,Cluster_1
CUST_02375,6605.69,6,48,2024-05-01 08:42:30,2024-11-30 08:07:31,11,5,0,1,4,0.4545,1100.95,31.7,6,6605.69,4,5,5,455,14,Champions,Cluster_4
CUST_01935,7117.1,7,55,2024-02-09 01:08:47,2024-11-28 22:06:54,17,9,2,3,6,0.5294,1016.73,33.1,7,7117.1,4,5,5,455,14,Champions,Cluster_4
CUST_02460,1643.87,3,26,2024-04-01 03:31:59,2024-12-06 21:02:30,16,3,2,1,5,0.1875,547.96,25.1,3,1643.87,5,4,2,542,11,Potential Loyalists,Cluster_1
CUST_01165,4477.51,6,45,2024-01-26 00:20:23,2024-09-21 14:17:28,12,15,1,4,5,1.25,746.25,101.4,6,4477.51,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_01542,2580.71,4,23,2024-03-12 09:52:34,2024-11-25 17:18:33,5,3,0,1,2,0.6,645.18,36.3,4,2580.71,4,4,3,443,11,Loyal Customers,Cluster_4
CUST_01802,584.53,1,6,2024-12-13 10:37:32,2024-12-13 10:37:32,21,7,1,2,6,0.3333,584.53,18.6,1,584.53,5,1,1,511,7,New Customers,Cluster_2
CUST_01486,4680.12,5,32,2024-02-08 14:03:07,2024-07-28 12:06:20,15,6,1,2,4,0.4,936.02,156.5,5,4680.12,2,5,5,255,12,Loyal Customers,Cluster_4
CUST_01828,3801.15,4,32,2024-02-14 22:12:11,2024-06-13 13:31:05,18,4,2,4,5,0.2222,950.29,201.4,4,3801.15,1,4,5,145,10,Loyal Customers,Cluster_4
CUST_00968,3913.57,5,33,2024-01-03 10:50:26,2024-11-29 02:55:23,16,0,3,5,7,0.0,782.71,32.9,5,3913.57,4,5,5,455,14,Champions,Cluster_4
CUST_01001,8821.33,6,69,2024-04-23 13:29:02,2024-08-12 07:28:29,21,3,3,3,5,0.1429,1470.22,141.7,6,8821.33,2,5,5,255,12,Loyal Customers,Cluster_4
CUST_02324,3193.82,6,29,2024-01-31 14:04:08,2024-11-26 23:33:22,14,2,2,4,7,0.1429,532.3,35.0,6,3193.82,4,5,4,454,13,Champions,Cluster_4
CUST_00760,955.42,1,9,2024-08-14 01:45:23,2024-08-14 01:45:23,12,4,0,8,5,0.3333,955.42,139.9,1,955.42,2,1,1,211,4,Lost,Cluster_2
CUST_00730,5765.56,5,55,2024-01-16 01:45:39,2024-11-04 10:37:06,22,6,2,8,5,0.2727,1153.11,57.6,5,5765.56,4,5,5,455,14,Champions,Cluster_4
CUST_02237,6713.55,6,61,2024-03-18 18:59:34,2024-11-06 15:18:42,18,6,1,3,4,0.3333,1118.92,55.4,6,6713.55,4,5,5,455,14,Champions,Cluster_4
CUST_00324,1295.35,3,12,2024-03-25 06:53:37,2024-07-17 13:42:18,20,6,2,2,4,0.3,431.78,167.4,3,1295.35,2,4,2,242,8,At Risk,Cluster_3
CUST_01771,1049.76,2,9,2024-06-02 15:05:42,2024-10-12 18:59:06,13,5,0,2,4,0.3846,524.88,80.2,2,1049.76,3,2,2,322,7,Potential Loyalists,Cluster_3
CUST_02275,2098.3,2,18,2024-03-01 23:08:41,2024-11-24 10:12:02,10,2,0,2,2,0.2,1049.15,37.6,2,2098.3,4,2,3,423,9,New Customers,Cluster_3
CUST_01958,1324.08,4,18,2024-01-03 14:41:44,2024-04-17 15:32:37,18,3,0,5,4,0.1667,331.02,258.4,4,1324.08,1,4,2,142,7,At Risk,Cluster_3
CUST_01933,426.76,1,9,2024-09-22 18:43:33,2024-09-22 18:43:33,13,1,0,0,3,0.0769,426.76,100.2,1,426.76,3,1,1,311,5,Potential Loyalists,Cluster_2
CUST_00830,1518.68,2,16,2024-01-31 02:07:47,2024-05-21 04:37:40,5,1,0,2,2,0.2,759.34,224.8,2,1518.68,1,2,2,122,5,Lost,Cluster_3
CUST_01901,2020.56,2,16,2024-06-09 08:49:50,2024-09-11 20:08:23,29,13,2,1,6,0.4483,1010.28,111.2,2,2020.56,2,2,3,223,7,Potential Loyalists,Cluster_3
CUST_00451,1660.85,3,17,2024-03-15 02:14:19,2024-12-08 19:39:27,52,18,6,9,15,0.3462,553.62,23.2,3,1660.85,5,4,2,542,11,Potential Loyalists,Cluster_1
CUST_00051,2440.36,4,26,2024-02-15 08:00:30,2024-11-01 11:10:59,23,8,1,0,9,0.3478,610.09,60.5,4,2440.36,3,4,3,343,10,Loyal Customers,Cluster_4
CUST_02488,571.66,1,4,2024-06-23 05:44:24,2024-06-23 05:44:24,14,8,0,2,4,0.5714,571.66,191.8,1,571.66,1,1,1,111,3,Lost,Cluster_2
CUST_00055,1361.06,2,12,2024-03-31 08:02:39,2024-04-21 08:52:53,40,15,4,5,8,0.375,680.53,254.6,2,1361.06,1,2,2,122,5,Lost,Cluster_3
CUST_01311,505.67,2,5,2024-02-25 07:49:42,2024-08-12 23:11:26,14,6,2,3,5,0.4286,252.84,141.0,2,505.67,2,2,1,221,5,Lost,Cluster_2
CUST_00914,1488.97,4,14,2024-01-28 09:20:04,2024-11-23 21:36:32,24,5,2,3,6,0.2083,372.24,38.1,4,1488.97,4,4,2,442,10,Potential Loyalists,Cluster_1
CUST_00805,4525.28,7,52,2024-02-06 04:35:24,2024-12-20 01:14:07,27,9,1,3,6,0.3333,646.47,11.9,7,4525.28,5,5,5,555,15,Champions,Cluster_1
CUST_01510,1855.94,2,15,2024-09-27 06:32:54,2024-11-22 16:54:42,16,8,1,5,8,0.5,927.97,39.3,2,1855.94,4,2,3,423,9,New Customers,Cluster_3
CUST_01872,4800.29,4,41,2024-01-06 23:02:59,2024-12-27 05:24:01,9,3,0,2,4,0.3333,1200.07,4.8,4,4800.29,5,4,5,545,14,Champions,Cluster_1
CUST_00997,3117.24,4,27,2024-04-28 22:02:49,2024-12-18 02:16:32,10,6,1,4,5,0.6,779.31,13.9,4,3117.24,5,4,4,544,13,Champions,Cluster_1
CUST_00635,2921.2,4,28,2024-01-16 12:16:23,2024-12-09 14:55:35,19,0,1,3,4,0.0,730.3,22.4,4,2921.2,5,4,4,544,13,Champions,Cluster_1
CUST_00053,1347.43,2,15,2024-01-19 08:20:22,2024-09-17 20:04:28,28,7,3,2,7,0.25,673.72,105.2,2,1347.43,2,2,2,222,6,Lost,Cluster_3
CUST_01304,3910.45,4,32,2024-02-07 17:28:55,2024-12-23 16:41:54,16,10,2,4,5,0.625,977.61,8.3,4,3910.45,5,4,5,545,14,Champions,Cluster_1
CUST_02392,1841.06,3,14,2024-01-11 10:43:28,2024-09-09 07:59:24,18,9,0,3,5,0.5,613.69,113.7,3,1841.06,2,4,3,243,9,Loyal Customers,Cluster_3
CUST_01356,457.06,1,4,2024-01-09 18:06:40,2024-01-09 18:06:40,9,3,0,1,2,0.3333,457.06,357.2,1,457.06,1,1,1,111,3,Lost,Cluster_2
CUST_01136,3950.73,3,39,2024-01-22 03:36:14,2024-12-02 17:28:09,16,5,1,2,6,0.3125,1316.91,29.3,3,3950.73,4,4,5,445,13,Champions,Cluster_1
CUST_01929,6085.24,5,42,2024-02-19 16:31:32,2024-10-21 03:01:06,12,3,0,1,4,0.25,1217.05,71.9,5,6085.24,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_00392,5177.56,3,39,2024-04-05 14:41:04,2024-10-12 18:50:13,13,2,2,2,5,0.1538,1725.85,80.2,3,5177.56,3,4,5,345,12,Loyal Customers,Cluster_4
CUST_01852,2890.46,6,30,2024-01-15 14:31:29,2024-11-18 03:06:14,8,2,0,1,2,0.25,481.74,43.9,6,2890.46,4,5,4,454,13,Champions,Cluster_4
CUST_01977,1759.08,3,13,2024-03-22 14:08:02,2024-08-06 05:04:53,25,12,8,9,8,0.48,586.36,147.8,3,1759.08,2,4,2,242,8,At Risk,Cluster_3
CUST_01808,2147.9,2,18,2024-04-15 20:42:44,2024-07-31 04:22:53,12,4,0,1,3,0.3333,1073.95,153.8,2,2147.9,2,2,3,223,7,Potential Loyalists,Cluster_3
CUST_01573,1732.47,2,14,2024-07-07 00:59:29,2024-07-10 23:55:45,2,0,0,2,2,0.0,866.24,174.0,2,1732.47,2,2,2,222,6,Lost,Cluster_3
CUST_00399,1938.06,5,22,2024-03-29 21:09:35,2024-12-22 09:41:49,31,6,2,4,6,0.1935,387.61,9.6,5,1938.06,5,5,3,553,13,Loyal Customers,Cluster_1
CUST_02466,2865.34,5,23,2024-02-16 17:47:01,2024-10-26 05:29:55,36,9,6,7,9,0.25,573.07,66.8,5,2865.34,3,5,4,354,12,Loyal Customers,Cluster_4
CUST_02327,4004.19,5,32,2024-03-15 15:47:54,2024-10-18 23:45:02,60,13,2,6,11,0.2167,800.84,74.0,5,4004.19,3,5,5,355,13,Loyal Customers,Cluster_4
CUST_02429,977.47,3,8,2024-04-02 14:50:33,2024-11-02 13:53:39,6,0,0,1,2,0.0,325.82,59.4,3,977.47,3,4,1,341,8,Potential Loyalists,Cluster_3
